"stage2/step","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage2/mcc_pearson","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"11251","0.06742208601246436","0","0.29494703864202737","21432","21432","21432","0.19941583153830617","0.12093438908495047","0.3273727521746296","31432.2","31431","31433","0.5519136500869386","0.4179601432379288","0.6904714158733493","31432.2","31431","31433"
"11501","0.071561083598716","0","0.2855263324188835","21685","21685","21685","0.308264691515373","0.17942276809142427","0.40672112896595924","31685.2","31684","31686","0.5203628266744814","0.38129887486921277","0.7405278027377165","31685.2","31684","31686"
"11751","0.050024061156342656","0","0.3653853035451763","21938","21938","21938","0.2189649269036999","0.15945027107075915","0.31568043331546236","31938.2","31937","31939","0.5124738692054722","0.3275123445816471","0.6103388232105735","31938.2","31937","31939"
"12001","0.03798183199548486","0","0.2539526535944218","22191","22191","22191","0.22399171311928168","0.1336094098962044","0.2921068693988914","32191.2","32190","32192","0.5548866063311573","0.4076318151318866","0.6695486647861852","32191.2","32190","32192"
"12251","0.04767490666173019","0","0.263603901645205","22444","22444","22444","0.18378731991095223","0.10073549314673644","0.244398058358058","32444.2","32443","32445","0.5621563680568017","0.37109075168808126","0.6814550529212504","32444.2","32443","32445"
"12501","0.038897710414820943","0","0.2211167508507029","22697","22697","22697","0.2330779941706142","0.13790246675082848","0.409906025083667","32697.2","32696","32698","0.5612693654429662","0.2783287941323536","0.6828544531020815","32697.2","32696","32698"
"12751","0.015361153328060321","0","0.1536115332806032","22950","22950","22950","0.1957559871496048","0.13249082713867574","0.31467888087720103","32950.2","32949","32951","0.5289135704036254","0.4185988299922331","0.7427892428265442","32950.2","32949","32951"
"13001","0","0","0","23203","23203","23203","0.2641783905603747","0.10541918644904028","0.3915809455895648","33203.2","33202","33204","0.4986528496699649","0.19278008199791166","0.7520748536456296","33203.2","33202","33204"
"13251","0","0","0","23456","23456","23456","0.1892589024108366","0.11269606802795262","0.27621590128519524","33456.2","33455","33457","0.5086809090392606","0.36544293663627564","0.6262607380133329","33456.2","33455","33457"
"13501","0","0","0","23709","23709","23709","0.18185514502706995","0.06530173863354563","0.26071261317594085","33709.2","33708","33710","0.5128940726469302","0.2695576517302394","0.6856689679785251","33709.2","33708","33710"
"13751","0","0","0","23962","23962","23962","0.22106666481538467","0.12088770637444264","0.37061614930435455","33962.2","33961","33963","0.5667969275613507","0.3495639612897391","0.6823617302008943","33962.2","33961","33963"
"14001","0","0","0","24215","24215","24215","0.23429786458696053","0.16871735937335675","0.3134957342949012","34215.2","34214","34216","0.5159001576838456","0.3224893343260705","0.6720534681197554","34215.2","34214","34216"
"14251","0","0","0","24468","24468","24468","0.21081489169193163","0.10815824359765167","0.40885723941846663","34468.2","34467","34469","0.5698663477181322","0.220615565665164","0.7265557810152063","34468.2","34467","34469"
"14501","0","0","0","24721","24721","24721","0.24287041307827625","0.12899404426392785","0.3774700469093154","34721.2","34720","34722","0.5201006426536268","0.22923488770825076","0.7110332038469072","34721.2","34720","34722"
"14751","0","0","0","24974","24974","24974","0.2156002017445883","0.06995913060434016","0.26385284010557786","34974.2","34973","34975","0.4913874018218607","0.1765286788975033","0.7330124361073586","34974.2","34973","34975"
"15001","0","0","0","25227","25227","25227","0.22028314303055474","0.10857261224859933","0.42447271428125044","35227.2","35226","35228","0.5531854688415185","0.3783402588155707","0.6572537132385944","35227.2","35226","35228"
"15251","0","0","0","25480","25480","25480","0.2610285273914981","0.16449742834250136","0.43970550749929405","35480.2","35479","35481","0.5684445151802623","0.46919908620813944","0.7224465295411583","35480.2","35479","35481"
"15501","0","0","0","25733","25733","25733","0.2506031933543556","0.118884864365802","0.3863822902668078","35733.2","35732","35734","0.4951775399224007","0.30586996385635745","0.6724740583670303","35733.2","35732","35734"
"15751","0","0","0","25986","25986","25986","0.2620397969260766","0.13206310496739948","0.40060805171977043","35986.2","35985","35987","0.504716895994908","0.362130577265926","0.5925727222325797","35986.2","35985","35987"
"16001","0","0","0","26239","26239","26239","0.21662061882624287","0.11780862808881028","0.32281878451007595","36239.2","36238","36240","0.5641985431893406","0.37310943405693636","0.7487845699196988","36239.2","36238","36240"
"16251","0","0","0","26492","26492","26492","0.19810798238978866","0.11135741965022361","0.3347497406545379","36492.2","36491","36493","0.5587544176898168","0.3458227934603808","0.6686621010379218","36492.2","36491","36493"
"16501","0","0","0","26745","26745","26745","0.23479238830724758","0.14420796200119185","0.30610125332909927","36745.2","36744","36746","0.5063191353639158","0.33141613559781713","0.6187846124707502","36745.2","36744","36746"
"16751","0","0","0","26998","26998","26998","0.20329175835427024","0.10497897457415892","0.3032352625081747","36998.2","36997","36999","0.5241434963154303","0.35609659677122985","0.69785637328302","36998.2","36997","36999"
"17001","0","0","0","27251","27251","27251","0.22997779326590168","0.14263334162308053","0.30249016494274994","37251.2","37250","37252","0.5336501230462412","0.3404735495142913","0.6952805726288371","37251.2","37250","37252"
"17251","0","0","0","27504","27504","27504","0.24133869362932986","0.14023508865898335","0.36973508936627153","37504.2","37503","37505","0.5424952598452516","0.3051404162512551","0.7160798578504084","37504.2","37503","37505"
"17501","0","0","0","27757","27757","27757","0.22690837197607322","0.08840727332803958","0.3740986151289809","37757.2","37756","37758","0.49436914917415764","0.2591640705421797","0.7363216574025457","37757.2","37756","37758"
"17751","0","0","0","28010","28010","28010","0.23160573705739199","0.14737280399217909","0.3148453022184171","38010.2","38009","38011","0.517534336232028","0.42185249310484824","0.5999396199443721","38010.2","38009","38011"
"18001","0","0","0","28263","28263","28263","0.1852095502584919","0.10153198213170775","0.3183049781961772","38263.2","38262","38264","0.4812246980574602","0.27847286127286647","0.7156157358028308","38263.2","38262","38264"
