"stage2/step","Group: VaDE_Simple_gumbel - stage2/mcc_spearman","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_spearman","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"6001","0.521535687361028","0.32503454661586134","0.631715312203859","16119","16119","16119","0.4866010618800217","0.10745199849601376","0.7018647049133843","26120","26120","26120","0.7853201398388657","0.6849194590255245","0.8124855572588524","26120","26120","26120"
"6251","0.505279428091702","0.36178819104255894","0.6109998295668267","16372","16372","16372","0.4947050021774203","0.10796864693532264","0.7077176361127498","26373","26373","26373","0.7859403705453263","0.691744114189091","0.8140811485105323","26373","26373","26373"
"6501","0.5567216626525009","0.48320909069836554","0.6752037933607505","16625","16625","16625","0.4890979729578227","0.09891657049262324","0.6898135505729343","26626","26626","26626","0.7873331110727035","0.690806789107339","0.8161588953606831","26626","26626","26626"
"6751","0.5352456776820299","0.4431252497650005","0.6239781181945819","16878","16878","16878","0.4917002831895547","0.10335462136406004","0.7191118837154535","26879","26879","26879","0.7889595431026892","0.6944664653220899","0.8147608661902211","26879","26879","26879"
"7001","0.5292489370984861","0.42817202819215733","0.6325678003421459","17131","17131","17131","0.4946612319004483","0.09492678142672202","0.7172255976703945","27132","27132","27132","0.7892747659907349","0.6967329634281455","0.8158854691481419","27132","27132","27132"
"7251","0.5212551095466034","0.3490128952539986","0.7042666061308198","17384","17384","17384","0.49470007472665645","0.12009842988404906","0.726884661825903","27385","27385","27385","0.7908961248457358","0.7026292689402803","0.8149090203960762","27385","27385","27385"
"7501","0.516507831008732","0.3984603431134243","0.662362865891482","17637","17637","17637","0.4953616291672446","0.0990502132517226","0.7247491628743417","27638","27638","27638","0.7913610634834571","0.7014460839682636","0.8149440728704992","27638","27638","27638"
"7751","0.5365394389933434","0.36479933897630396","0.6494493432698868","17890","17890","17890","0.49616317230232354","0.10009690031970464","0.7216007898974679","27891","27891","27891","0.7904298677385222","0.6984345782972751","0.8157707071006941","27891","27891","27891"
"8001","0.5665251593294096","0.47352120896584077","0.6746706728770446","18143","18143","18143","0.49644102354073294","0.08593806535852022","0.7224160740431441","28144","28144","28144","0.7915744449081605","0.7028440360491416","0.8164240632699284","28144","28144","28144"
"8251","0.5268037131854542","0.37857745964211215","0.6329311358207633","18396","18396","18396","0.49828414111374625","0.09436064725732896","0.7256147940203378","28397","28397","28397","0.7922762020755031","0.7033206687462741","0.8161971551241058","28397","28397","28397"
"8501","0.5516217779906987","0.47803399322608514","0.678516108761079","18649","18649","18649","0.49559042541356924","0.08689846628945853","0.7196140283300853","28650","28650","28650","0.792558101185887","0.7072983124978506","0.813214916293842","28650","28650","28650"
"8751","0.5473771965635987","0.44052437183604365","0.637222257306679","18902","18902","18902","0.4999345242687171","0.11044807307141179","0.7196749279179643","28903","28903","28903","0.7942504688323826","0.7055804762273743","0.8155001825122828","28903","28903","28903"
"9001","0.5541679768602088","0.44699250982589184","0.7317100449322281","19155","19155","19155","0.5035751751289939","0.09185119456487371","0.7174179432604374","29156","29156","29156","0.7938370048535375","0.7055617459631249","0.8144346246465641","29156","29156","29156"
"9251","0.5160978935049061","0.269711666157603","0.599786351844371","19408","19408","19408","0.5044171328699091","0.09343099603028593","0.7178872278324645","29409","29409","29409","0.7936605117530997","0.706315744539081","0.8132669429439536","29409","29409","29409"
"9501","0.5426461057770167","0.39506366183926334","0.6482644506718098","19661","19661","19661","0.5076648727407481","0.11331341516402782","0.7310191502834525","29662","29662","29662","0.7943906717132153","0.7054982385001168","0.8130053095631435","29662","29662","29662"
"9751","0.4723747592998958","0.25707117375385496","0.5873409056585683","19914","19914","19914","0.5086732934163473","0.09361494893387957","0.7314950432612646","29915","29915","29915","0.7949979118232374","0.7064454849897811","0.8163869782451539","29915","29915","29915"
"10001","0.4959147812733888","0.36416478837734406","0.6228839256058364","20167","20167","20167","0.5097776930533108","0.10816533094356746","0.7361289784130914","30168","30168","30168","0.795529753110627","0.7071576508749629","0.8160034123589494","30168","30168","30168"
"10251","0.5368436625550629","0.4218554922024044","0.6326580434834767","20420","20420","20420","0.5151849066261807","0.1047829121873618","0.7368691420637411","30421","30421","30421","0.7957005495964936","0.7057306402970056","0.816523514480191","30421","30421","30421"
"10501","0.5352993470850593","0.432292844402795","0.6377550095357774","20673","20673","20673","0.5175074227136256","0.09595229399621309","0.7419109674038732","30674","30674","30674","0.7956896190922951","0.7091975565471942","0.8163220520980813","30674","30674","30674"
"10751","0.573477076678306","0.4248235438074473","0.7194611377474623","20926","20926","20926","0.5204300351556561","0.09942273317708704","0.7520456526201199","30927","30927","30927","0.7962329783693656","0.7069144659243648","0.816710765537365","30927","30927","30927"
"11001","0.4884424338012723","0.25499227080845976","0.6656698561292355","21179","21179","21179","0.530570106696778","0.10344739251060416","0.7532409047943666","31180","31180","31180","0.7962688446435295","0.708651353479857","0.8160714364720733","31180","31180","31180"
"11251","0.5570137701777333","0.485094366594844","0.6178206516724524","21432","21432","21432","0.5443849595483077","0.11435579756212555","0.7578221030044681","31433","31433","31433","0.7963138866450774","0.7076913241897111","0.8169094843622725","31433","31433","31433"
"11501","0.4991570493998032","0.3943957882522969","0.6394412307791104","21685","21685","21685","0.549633695434216","0.10611832115578246","0.7586136379072541","31686","31686","31686","0.7951019388564038","0.7056411069066746","0.8158715615395263","31686","31686","31686"
"11751","0.5059158371498889","0.3743087321142446","0.651260551585263","21938","21938","21938","0.5610436511399712","0.12138667141417137","0.7642059713157807","31939","31939","31939","0.795006915275488","0.7055576436728875","0.8152345228755246","31939","31939","31939"
"12001","0.512103654013446","0.3453547141840176","0.6325681192421654","22191","22191","22191","0.5666088757767118","0.11253265187521826","0.7677128055540718","32192","32192","32192","0.7953323573064728","0.7060213290300382","0.8158074847936052","32192","32192","32192"
"12251","0.5180945860528886","0.37702383430294323","0.6897695478319168","22444","22444","22444","0.570370956316774","0.11365947213391941","0.7698563777409735","32445","32445","32445","0.7951284641700954","0.7055183624019383","0.8147838845034873","32445","32445","32445"
"12501","0.537220289534014","0.46016871469381226","0.6571964990897122","22697","22697","22697","0.5751126470740892","0.11000070977953574","0.7725658407375272","32698","32698","32698","0.7959762179830813","0.7051314990766847","0.8156045414555844","32698","32698","32698"
