"stage1/step","Group: VaDE_Simple_cauchy - stage1/mcc_pearson","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage1/mcc_pearson","Group: Danru_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Danru_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"7001","0.4487082855130956","0.24506296597861513","0.6005262044505665","7030","7030","7030","0.4662806810375759","0.20050481152859767","0.7214373528973602","14032","14032","14032","0.6099020870465393","0.4029789246311941","0.8759500093655861","14032","14032","14032"
"7251","0.3674642642517795","0.1757419901621663","0.5937322029831545","7281","7281","7281","0.37513008540071224","0.1441193720901641","0.48510762163486953","14533","14533","14533","0.5912442474472892","0.36628261244284416","0.7988293283658638","14533","14533","14533"
"7501","0.37128395789961377","0.2400254637226861","0.520212831036515","7532","7532","7532","0.38541029902213725","0.1431560933990527","0.5662797355573009","15034","15034","15034","0.5623955566947179","0.34865430320964164","0.7470196582693287","15034","15034","15034"
"7751","0.39145148602597113","0.2446626029819936","0.5562742433233168","7783","7783","7783","0.38009111863079215","0.183068615652874","0.6106112414498427","15535","15535","15535","0.6932454790099353","0.5236378671616726","0.8725684143030086","15535","15535","15535"
"8001","0.3532460767594872","0.23017123910487802","0.6453042117191786","8034","8034","8034","0.38434047649346553","0.15406424990385148","0.6600081351283231","16036","16036","16036","0.684179363660065","0.5114280106270569","0.8296784534418143","16036","16036","16036"
"8251","0.3512496041810339","0.10751018789623208","0.5370365023560358","8285","8285","8285","0.30618496650432475","0.06282838906021736","0.5271448623281105","16537","16537","16537","0.5410177698999604","0.38211900942379656","0.7112082177069635","16537","16537","16537"
"8501","0.4191938961339746","0.1173426993481544","0.696549654090279","8536","8536","8536","0.3454091206643056","0.08929063396215557","0.5893026956251907","17038","17038","17038","0.6841439828863517","0.426762920551955","0.9277217821617553","17038","17038","17038"
"8751","0.3382687767429511","0.24782755343957255","0.4395224505225895","8787","8787","8787","0.34743479033513813","0.2274787322375246","0.5289197188334384","17539","17539","17539","0.6043192456809071","0.3715066472499165","0.8556131041491075","17539","17539","17539"
"9001","0.3412792579714833","0.10573144284517394","0.5096542588562585","9038","9038","9038","0.344684908772832","0.26320799359631764","0.5115739225910447","18040","18040","18040","0.609886684453372","0.35255756343985384","0.8968073646212881","18040","18040","18040"
"9251","0.34272103844582624","0.1652140363671242","0.4513877574537055","9289","9289","9289","0.33569228078738067","0.1448623293488314","0.5370672682000502","18541","18541","18541","0.6284188585699375","0.42082235651984295","0.7371334642330826","18541","18541","18541"
"9501","0.3448383176219842","0.2927864360497546","0.41860652015897015","9540","9540","9540","0.39367688273638957","0.2397795898539754","0.6825717234744223","19042","19042","19042","0.6290154819308377","0.47635447218912064","0.8242208942213028","19042","19042","19042"
"9751","0.35690195008797654","0.09893509134024576","0.5510395795790645","9791","9791","9791","0.3376759137729953","0.0927391890427991","0.6063793754054408","19543","19543","19543","0.607709559759515","0.37625317887064175","0.8482513908491193","19543","19543","19543"
