"stage1/step","Group: Ours_MSE_Simple_cauchy - stage1/mcc_pearson","Group: Ours_MSE_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_MSE_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"6751","0.4975940620631835","0.3616676462578428","0.5991087274400693","13531","13531","13531","0.2966507318746417","0.20472739886371322","0.37979612448103833","13531","13531","13531","0.6569687246481744","0.4535767310733092","0.8085099987320522","13531","13531","13531","0.36446199432113635","0.1690415696281599","0.5482903683658897","13531","13531","13531"
"7001","0.5038887687149055","0.35362350935078574","0.7204511453104026","14032","14032","14032","0.32844595740907356","0.1548577079118763","0.4217511881945358","14032","14032","14032","0.6099020870465393","0.4029789246311941","0.8759500093655861","14032","14032","14032","0.41363820164173426","0.20968964583143151","0.5223662792534316","14032","14032","14032"
"7251","0.5233077326949818","0.3599234331069765","0.6954742573141687","14533","14533","14533","0.27715093412405245","0.20483394747942585","0.41322526068198345","14533","14533","14533","0.5912442474472892","0.36628261244284416","0.7988293283658638","14533","14533","14533","0.3856658521280946","0.20234694008377319","0.518501357923254","14533","14533","14533"
"7501","0.5045449925065237","0.3366673182428925","0.744535033726836","15034","15034","15034","0.3751236874959222","0.31303542520046257","0.4536421285513561","15034","15034","15034","0.5623955566947179","0.34865430320964164","0.7470196582693287","15034","15034","15034","0.46492354165453403","0.3696130488777939","0.5221366335852745","15034","15034","15034"
"7751","0.6122548499913538","0.47244029455847336","0.7601816665801077","15535","15535","15535","0.36250042409296956","0.23002113548655187","0.5099564932212417","15535","15535","15535","0.6932454790099353","0.5236378671616726","0.8725684143030086","15535","15535","15535","0.47351653177724273","0.3706226929513055","0.5817327324095909","15535","15535","15535"
"8001","0.6135781174292052","0.4964648541306344","0.7570217941935281","16036","16036","16036","0.2860961729966057","0.11927142901101848","0.3865136937236071","16036","16036","16036","0.684179363660065","0.5114280106270569","0.8296784534418143","16036","16036","16036","0.39050047195380433","0.24119373923690385","0.5568247096909882","16036","16036","16036"
"8251","0.4952296026594462","0.35084295661155435","0.8332284434550145","16537","16537","16537","0.3342118832937997","0.17109632826363513","0.45188936870580027","16537","16537","16537","0.5410177698999604","0.38211900942379656","0.7112082177069635","16537","16537","16537","0.38265295803501914","0.1858053188638256","0.5985129109507286","16537","16537","16537"
"8501","0.57620361836174","0.42694492168982207","0.7368060293203645","17038","17038","17038","0.3331151871276637","0.2079547430823963","0.47309998782040763","17038","17038","17038","0.6841439828863517","0.426762920551955","0.9277217821617553","17038","17038","17038","0.46256263334111136","0.3549598695021567","0.5568420486066524","17038","17038","17038"
"8751","0.510383163994135","0.3438656561634588","0.6477659008513835","17539","17539","17539","0.3490598330792527","0.24003451986137714","0.5123964144974538","17539","17539","17539","0.6043192456809071","0.3715066472499165","0.8556131041491075","17539","17539","17539","0.4670669012719454","0.3489626628130437","0.5782141877370386","17539","17539","17539"
"9001","0.5189442071994222","0.3515735568854726","0.6749857041393698","18040","18040","18040","0.3696680899802798","0.24615077252185555","0.5763803258345178","18040","18040","18040","0.609886684453372","0.35255756343985384","0.8968073646212881","18040","18040","18040","0.47273607082594465","0.38803804533037717","0.6124490354599043","18040","18040","18040"
"9251","0.5995270194659036","0.46148719748928024","0.6733403005978458","18541","18541","18541","0.33086424650475316","0.2631543127550008","0.5024000243024194","18541","18541","18541","0.6284188585699375","0.42082235651984295","0.7371334642330826","18541","18541","18541","0.48676133581196834","0.42038058303215387","0.5898559376518777","18541","18541","18541"
"9501","0.5218980906922421","0.36861938870488936","0.7005792579413184","19042","19042","19042","0.2606204747890798","0.1012934567497833","0.3492613089840292","19042","19042","19042","0.6290154819308377","0.47635447218912064","0.8242208942213028","19042","19042","19042","0.3786608254880946","0.10232176055838293","0.5364302256158842","19042","19042","19042"
"9751","0.5134552256849819","0.3450475845317655","0.7458816333271064","19543","19543","19543","0.3326620503638194","0.11689673707031549","0.5947553033266065","19543","19543","19543","0.607709559759515","0.37625317887064175","0.8482513908491193","19543","19543","19543","0.41503192827889546","0.11338774439296953","0.6094846033961987","19543","19543","19543"
