"stage2/step","Group: Danru_Complicate_cauchy - stage2/mcc_spearman","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_spearman","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Danru_Simple_gauss - stage2/mcc_spearman","Group: Danru_Simple_gauss - stage2/mcc_spearman__MIN","Group: Danru_Simple_gauss - stage2/mcc_spearman__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX"
"5001","0.23949079155237962","0.1667348119969165","0.2855775382887452","25107.2","25106","25108","0.38864122869278256","0.29952718375025034","0.4943570434685808","25107.4","25106","25108","0.4570070822175488","0.23424485976734877","0.5135890553533456","25107.4","25106","25108","0.4336504868255734","0.2981237522513196","0.5633113308892247","25108","25108","25108","0.48112783070776366","0.0999308350481039","0.6967178612258677","25108","25108","25108","0.49460718661894976","0.03678508215820095","0.7018951740557813","25108","25108","25108"
"5251","0.24097157713590978","0.16802707032940606","0.3191442139080413","25360.2","25359","25361","0.38783149076106993","0.303270046698294","0.5006715732635747","25360.4","25359","25361","0.4612214355363268","0.23203088410237033","0.5231814441175479","25360.4","25359","25361","0.39634262984618995","0.26826951312622555","0.5651766224490352","25361","25361","25361","0.48045974777075096","0.10983553674306745","0.683633496803507","25361","25361","25361","0.4973464532927837","0.06108235817770397","0.6791363192404294","25361","25361","25361"
"5501","0.23149950246920512","0.1653622382516673","0.27355273816096276","25613.2","25612","25614","0.38842042178114927","0.3020615284955293","0.4988516175548218","25613.4","25612","25614","0.4680707416842286","0.22877096939017813","0.5211734724244605","25613.4","25612","25614","0.4366309349285378","0.3104243846787645","0.5811544501044489","25614","25614","25614","0.48413523427605504","0.096185730761706","0.6868208346412162","25614","25614","25614","0.5128303711135807","0.0481118016012566","0.7194569461063406","25614","25614","25614"
"5751","0.23434987417675016","0.17298230132462464","0.29701455261421794","25866.2","25865","25867","0.3903046804494358","0.3018299291527496","0.5084391692146081","25866.4","25865","25867","0.4695992073568904","0.23474045943488572","0.5287574741456144","25866.4","25865","25867","0.4417490693117073","0.30758201269081525","0.5909037034262384","25867","25867","25867","0.48715401893041876","0.11750460927613353","0.7019670933048182","25867","25867","25867","0.5133324560892621","0.06304725600723664","0.7116221855443237","25867","25867","25867"
"6001","0.24313980527426904","0.17943737893152528","0.2973741647739062","26119.2","26118","26120","0.394041448898253","0.3061030758920072","0.5094318730093426","26119.4","26118","26120","0.47483450663522986","0.23840303396743745","0.5344309910633709","26119.4","26118","26120","0.42953699077153634","0.28106911243837934","0.5567678723120522","26120","26120","26120","0.4866010618800217","0.10745199849601376","0.7018647049133843","26120","26120","26120","0.5109792182394135","0.06076141283930325","0.7029446906980379","26120","26120","26120"
"6251","0.24819637432209482","0.16766824607333491","0.30386981746897695","26372.2","26371","26373","0.39469716586546333","0.3063812886907068","0.511583322155241","26372.4","26371","26373","0.47667747928065485","0.24323751166445","0.5338333613012274","26372.4","26371","26373","0.3924678157465943","0.2662266359777895","0.5016077194369488","26373","26373","26373","0.4947050021774203","0.10796864693532264","0.7077176361127498","26373","26373","26373","0.5228027751423717","0.06707808841941887","0.7553656229484366","26373","26373","26373"
"6501","0.24496043016587582","0.1806958926113981","0.2870125508138783","26625.2","26624","26626","0.39966788570345513","0.30759041897106265","0.5466282102005005","26625.4","26624","26626","0.47159728130589346","0.24054609783669506","0.5362364159423743","26625.4","26624","26626","0.41727772602840646","0.2687600312439472","0.5710218194109783","26626","26626","26626","0.4890979729578227","0.09891657049262324","0.6898135505729343","26626","26626","26626","0.5224907861984519","0.04886894977841014","0.7607072258178219","26626","26626","26626"
"6751","0.24922443489393492","0.18106799905851226","0.30363232395811807","26878.2","26877","26879","0.3946367291760196","0.31172241958828467","0.5414144347739122","26878.4","26877","26879","0.47408433145147455","0.23944383169777894","0.5325194557419644","26878.4","26877","26879","0.3881475610051425","0.2640456388286692","0.5452100094104521","26879","26879","26879","0.4917002831895547","0.10335462136406004","0.7191118837154535","26879","26879","26879","0.5262868909268146","0.05162628026633756","0.7651528117082732","26879","26879","26879"
"7001","0.2382827401695363","0.1714079309066159","0.2801528401665877","27131.2","27130","27132","0.3926455037860092","0.308802874266077","0.5370951287160978","27131.4","27130","27132","0.44910027064295094","0.24293496636525277","0.5393827580067907","27131.4","27130","27132","0.4208448273237474","0.2548045668742647","0.5494414469920021","27132","27132","27132","0.4946612319004483","0.09492678142672202","0.7172255976703945","27132","27132","27132","0.5239163248583347","0.06283502502420316","0.7742617400124233","27132","27132","27132"
"7251","0.24852913286699882","0.17264817506733307","0.3281658480540468","27384.2","27383","27385","0.3946290610407228","0.30841409456807106","0.5490305613816114","27384.4","27383","27385","0.4598897352725982","0.24057097158982438","0.5323484169227554","27384.4","27383","27385","0.42382298378630007","0.3196354568642931","0.5564506747178822","27385","27385","27385","0.49470007472665645","0.12009842988404906","0.726884661825903","27385","27385","27385","0.526670689804884","0.058702646301556784","0.7620538190623263","27385","27385","27385"
