"stage2/step","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"8751","0.5772218641559941","0.49178828823530907","0.6523895101355358","28903","28903","28903","0.2330870675210408","0.18204035564423143","0.336110793865583","28902.2","28901","28903","0.6742896604927937","0.5721194615630355","0.760044675552335","28903","28903","28903","0.5021414430617955","0.4430292099602836","0.5998651676807014","28902.2","28901","28903"
"9001","0.5825708530270673","0.4742766524354572","0.6385234803866856","29156","29156","29156","0.2422678883917065","0.19697471447173995","0.3449310878382915","29155.2","29154","29156","0.6649491565577627","0.570697342799276","0.7594768411864505","29156","29156","29156","0.5017001010515363","0.4396251756082113","0.5992333755988755","29155.2","29154","29156"
"9251","0.5781808969526583","0.49429651737993563","0.6437845593442338","29409","29409","29409","0.2405622113504134","0.19145635153801324","0.340656441680624","29408.2","29407","29409","0.6759050622043304","0.5727666728394247","0.7620967289725992","29409","29409","29409","0.5033867987992243","0.44789022493367375","0.5993007055163797","29408.2","29407","29409"
"9501","0.5798183701987842","0.4863367510166632","0.6329048699634755","29662","29662","29662","0.23957248916711746","0.19610962713386723","0.3355823398923087","29661.2","29660","29662","0.671643004071867","0.5731593306796375","0.7626475394014373","29662","29662","29662","0.5028754188786247","0.44907520698060965","0.5918319686022528","29661.2","29660","29662"
"9751","0.5815071024027825","0.46115458038520235","0.6460052381470871","29915","29915","29915","0.23881126650921605","0.20089739085443364","0.3312028131031455","29914.2","29913","29915","0.6681330810035422","0.5711854836700424","0.7410670271922989","29915","29915","29915","0.5032414280580635","0.4396911491572605","0.600694195794626","29914.2","29913","29915"
"10001","0.5787622929856543","0.47188425574433773","0.6575963010973521","30168","30168","30168","0.23247346385341977","0.18952860066542335","0.3376055582885762","30167.2","30166","30168","0.6864043936823809","0.5731377294237373","0.7580758553556218","30168","30168","30168","0.5026455043993794","0.4417729525019295","0.6021034767334028","30167.2","30166","30168"
"10251","0.5736536162583279","0.4783676113484487","0.6344779140044036","30421","30421","30421","0.24028540564606643","0.19834175914604418","0.34016743655805437","30420.2","30419","30421","0.6922529015521158","0.572210695293204","0.7610225758612158","30421","30421","30421","0.49744192532172404","0.41592861435267753","0.5942657300092813","30420.2","30419","30421"
"10501","0.581061048322453","0.4906092030514924","0.6345334738354325","30674","30674","30674","0.24262507292120636","0.1800645307822558","0.34525337550155916","30673.2","30672","30674","0.6914082558341768","0.5706250273515924","0.7620225774418042","30674","30674","30674","0.5037363960148078","0.43502968196619624","0.5976710247320766","30673.2","30672","30674"
"10751","0.5759417690887618","0.457100363108731","0.6522547756049162","30927","30927","30927","0.24331486060310814","0.1813014427930808","0.3404172769773702","30926.2","30925","30927","0.6893539514266593","0.5718125348026899","0.7605952646827943","30927","30927","30927","0.5030670898795099","0.4414598867912747","0.5926812086829268","30926.2","30925","30927"
"11001","0.5706647103712724","0.3899374533437188","0.648433056019413","31180","31180","31180","0.2395775751042153","0.18352541064690897","0.34744734889978923","31179.2","31178","31180","0.6878977212739413","0.57057531069337","0.7594219006234595","31180","31180","31180","0.5032774053266583","0.44163694340374454","0.597964120486052","31179.2","31178","31180"
"11251","0.5712557404896252","0.4805593804450967","0.6244780843535748","31433","31433","31433","0.24545416096937384","0.19795924617386068","0.35629943737165026","31432.2","31431","31433","0.6897520497493004","0.5685096795857004","0.7584441818735227","31433","31433","31433","0.5004677093571879","0.44429980236064914","0.5784328623396123","31432.2","31431","31433"
"11501","0.5769754286368336","0.4603992931564999","0.6425399513565829","31686","31686","31686","0.23610935345519182","0.19196733999612","0.3395704837438835","31685.2","31684","31686","0.6895783444992696","0.5682291440787534","0.7591379919061833","31686","31686","31686","0.505534812709994","0.43653166263136234","0.5971312362004704","31685.2","31684","31686"
"11751","0.580822015248179","0.5215657073480048","0.6552247299711661","31939","31939","31939","0.23492668560566332","0.19395943156957066","0.3145641486117901","31938.2","31937","31939","0.6800138558054455","0.5687158441983446","0.7608105183362733","31939","31939","31939","0.5004047246145624","0.43811569908219117","0.5953615833354837","31938.2","31937","31939"
"12001","0.5719798124953849","0.47323637502993127","0.6472614429041141","32192","32192","32192","0.2410937483386954","0.20169137559752173","0.3221836303985815","32191.2","32190","32192","0.6843591658130382","0.5746245305162846","0.7636730763950959","32192","32192","32192","0.5038906710854821","0.4452714646646931","0.5958695476651441","32191.2","32190","32192"
"12251","0.5767345299163293","0.4567111004312056","0.6543590141133805","32445","32445","32445","0.23531751959085656","0.18818901227644164","0.3220109519347304","32444.2","32443","32445","0.6816427037278527","0.5800282709408336","0.7595053006416442","32445","32445","32445","0.5022167507322285","0.4348682323884391","0.5956431196075088","32444.2","32443","32445"
"12501","0.5717016484634401","0.47194091736668425","0.6308111634911185","32698","32698","32698","0.2404672758175793","0.1944774235979571","0.3434653900389073","32697.2","32696","32698","0.6833436987517684","0.5818071242977406","0.7570619980486505","32698","32698","32698","0.5074018715928378","0.44265163895208104","0.6014667466028122","32697.2","32696","32698"
"12751","0.5758683299495911","0.48800956591266864","0.6525149225775281","32951","32951","32951","0.23437672827712236","0.19464211793254269","0.3195296074409639","32950.2","32949","32951","0.6831565381873851","0.5851293842516415","0.7591564827471674","32951","32951","32951","0.50752842808738","0.43615134995376054","0.5996083583074165","32950.2","32949","32951"
"13001","0.5724708097911321","0.4752804334841707","0.6456880635968694","33204","33204","33204","0.23221966433667238","0.18550279786297894","0.3295835828874534","33203.2","33202","33204","0.6837203191626031","0.5878555293202283","0.7598672400580361","33204","33204","33204","0.5035846588237679","0.44023324721093965","0.5948558223212974","33203.2","33202","33204"
"13251","0.5764540638639991","0.4649221176715308","0.6456195107405492","33457","33457","33457","0.23326166891796035","0.18635754039724134","0.30646276642786174","33456.2","33455","33457","0.6827758597175062","0.590810335012708","0.7594150339562128","33457","33457","33457","0.5056110928402618","0.433803394902462","0.5900177400185912","33456.2","33455","33457"
"13501","0.5734748040533593","0.4747949256285855","0.6431256889456847","33710","33710","33710","0.23491154009475693","0.18736749148572357","0.31835935270354776","33709.2","33708","33710","0.683850760364902","0.5947585363207942","0.7583700381235166","33710","33710","33710","0.5067259339280146","0.4387854435001278","0.5998874084742132","33709.2","33708","33710"
