"stage2/step","Group: VaDE_Simple_cauchy - stage2/mcc_spearman","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"9001","0.051592214286651714","0","0.5159221428665172","19155","19155","19155","0.4491926795640702","0.23938552643133829","0.6195719699011281","29156","29156","29156","0.6649491565577627","0.570697342799276","0.7594768411864505","29156","29156","29156"
"9251","0.049942916685529255","0","0.49942916685529254","19408","19408","19408","0.45831574358369354","0.2525760009940817","0.6224130182636923","29409","29409","29409","0.6759050622043304","0.5727666728394247","0.7620967289725992","29409","29409","29409"
"9501","0.04201667540191758","0","0.4201667540191758","19661","19661","19661","0.43362936332408414","0.2750274258993905","0.5599930938800216","29662","29662","29662","0.671643004071867","0.5731593306796375","0.7626475394014373","29662","29662","29662"
"9751","0.03495724614757953","0","0.3495724614757953","19914","19914","19914","0.4195843186256239","0.242921077597408","0.5563415537945319","29915","29915","29915","0.6681330810035422","0.5711854836700424","0.7410670271922989","29915","29915","29915"
"10001","0.03546593696376223","0","0.35465936963762235","20167","20167","20167","0.4574324946289649","0.3052634061851947","0.5431335797963827","30168","30168","30168","0.6864043936823809","0.5731377294237373","0.7580758553556218","30168","30168","30168"
"10251","0.024560347457418138","0","0.24560347457418139","20420","20420","20420","0.415162748681596","0.2540137057212635","0.5385642338587847","30421","30421","30421","0.6922529015521158","0.572210695293204","0.7610225758612158","30421","30421","30421"
"10501","0.0273522197956954","0","0.273522197956954","20673","20673","20673","0.43585099908184227","0.2593511371970495","0.5655122766364794","30674","30674","30674","0.6914082558341768","0.5706250273515924","0.7620225774418042","30674","30674","30674"
"10751","0.02845158383696264","0","0.2845158383696264","20926","20926","20926","0.44860264299463226","0.2641319876803941","0.571513834028889","30927","30927","30927","0.6893539514266593","0.5718125348026899","0.7605952646827943","30927","30927","30927"
"11001","0.028788765420380287","0","0.28788765420380286","21179","21179","21179","0.41963651557589576","0.28011762804902873","0.580471516964112","31180","31180","31180","0.6878977212739413","0.57057531069337","0.7594219006234595","31180","31180","31180"
"11251","0.0187131219453734","0","0.187131219453734","21432","21432","21432","0.4350765557988362","0.3060214160322427","0.5968093998844377","31433","31433","31433","0.6897520497493004","0.5685096795857004","0.7584441818735227","31433","31433","31433"
"11501","0.035701733124832206","0","0.3570173312483221","21685","21685","21685","0.4782309481957518","0.3424107242746506","0.6028725813740285","31686","31686","31686","0.6895783444992696","0.5682291440787534","0.7591379919061833","31686","31686","31686"
"11751","0.035083760828270985","0","0.3508376082827098","21938","21938","21938","0.44241741433797666","0.23577525482906703","0.5834726553507402","31939","31939","31939","0.6800138558054455","0.5687158441983446","0.7608105183362733","31939","31939","31939"
