"stage2/step","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_pearson","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"8251","0.5518528672846243","0.3656310194574439","0.8206012568589026","28397","28397","28397","0.12263820859336165","0.06090480697292829","0.26476012632798185","28396.2","28395","28397","0.7746049621130437","0.5099060109328138","0.9711885811232156","28397","28397","28397","0.5663672922816155","0.31588185888616727","0.7982336383788478","28396.2","28395","28397"
"8501","0.5301151461825345","0.34831621860213996","0.7574498511843072","28650","28650","28650","0.1861732449078238","0.0439712349655218","0.36824288820403067","28649.2","28648","28650","0.6473180362026139","0.3468707081961661","0.9261368314771322","28650","28650","28650","0.48979578070872104","0.2883569619624756","0.649451368616177","28649.2","28648","28650"
"8751","0.5135124501641097","0.36781489041476845","0.8102420418105929","28903","28903","28903","0.15421436272421002","0.05384247608865065","0.40914259667889785","28902.2","28901","28903","0.7190232641289704","0.38520139055278557","0.955969519967648","28903","28903","28903","0.48830250524112745","0.2925220976930777","0.7151330007340351","28902.2","28901","28903"
"9001","0.5215156008369803","0.4095098133428659","0.6744805323743307","29156","29156","29156","0.1330759875229775","0.05840397688488881","0.27710028259781605","29155.2","29154","29156","0.6928417987759335","0.5231615201064438","0.8931392408028418","29156","29156","29156","0.5092456518798387","0.18000196205572705","0.6276902298159213","29155.2","29154","29156"
"9251","0.48841278365004326","0.40445898293932014","0.5928108619892065","29409","29409","29409","0.15181108436825735","0.060180107442509345","0.41050214060046447","29408.2","29407","29409","0.636441938456345","0.48187264725405415","0.8529182595904388","29409","29409","29409","0.5573496768231434","0.48524492866659746","0.6808325629321498","29408.2","29407","29409"
"9501","0.478894279635368","0.3209830328154848","0.6083988369196806","29662","29662","29662","0.13782700346039056","0.06006960031488445","0.2971957425624934","29661.2","29660","29662","0.7047696792624965","0.4701760556825206","0.9771547131787838","29662","29662","29662","0.5385545931623501","0.23540455657055182","0.6863403996096605","29661.2","29660","29662"
"9751","0.5072411059989105","0.33763024028909056","0.7980169669892284","29915","29915","29915","0.17261667582681456","0.07836184135174466","0.38208787054967736","29914.2","29913","29915","0.6924961700611219","0.3353629214625525","0.9090290003896535","29915","29915","29915","0.5071820922652456","0.3282481688297074","0.6369291414953588","29914.2","29913","29915"
"10001","0.5001535229520524","0.34896053874411664","0.6959878359898631","30168","30168","30168","0.13540519422226507","0.06264534406431853","0.2658571530940718","30167.2","30166","30168","0.7453977407949817","0.4554332284272022","0.9607071523002874","30168","30168","30168","0.5346006449145909","0.31027907533312366","0.6835897311472984","30167.2","30166","30168"
"10251","0.5289382361388191","0.3958440843456544","0.6350653086722855","30421","30421","30421","0.1427581645896591","0.060868147564658956","0.27903137163615843","30420.2","30419","30421","0.766803116510425","0.5534237664951762","0.9499871911533955","30421","30421","30421","0.5236798728633323","0.40309320716992464","0.6180925288722647","30420.2","30419","30421"
"10501","0.5057548374358806","0.3531620020120591","0.9340205800738302","30674","30674","30674","0.1324004118202724","0.05741928600253201","0.27106388869941456","30673.2","30672","30674","0.6762671666640232","0.35318434124451975","0.9459786179663717","30674","30674","30674","0.5565116381225104","0.4410592107568435","0.6440400347580297","30673.2","30672","30674"
"10751","0.5307593428802546","0.3451163309164986","0.8412259736884066","30927","30927","30927","0.16060921205205386","0.05758680743914494","0.36955651312445303","30926.2","30925","30927","0.7260960763883121","0.4325378159650586","0.955397240891683","30927","30927","30927","0.5178795775482373","0.36695859968188616","0.662129330533678","30926.2","30925","30927"
"11001","0.5460869465106232","0.3377545183390282","0.7065078318394437","31180","31180","31180","0.12659768172262445","0.05486005469003674","0.21520280782961415","31179.2","31178","31180","0.7639440682474278","0.39037661200249757","0.9845358230060666","31180","31180","31180","0.5195554514858414","0.38014992314366447","0.6349403164125098","31179.2","31178","31180"
"11251","0.531142424226658","0.3935537688076622","0.8174426540284369","31433","31433","31433","0.1834358762780885","0.05182890224429289","0.43971774450619217","31432.2","31431","31433","0.7664477865499636","0.4610514506067305","0.9538248665742444","31433","31433","31433","0.5519136500869386","0.4179601432379288","0.6904714158733493","31432.2","31431","31433"
"11501","0.5032481686997373","0.34068397631384234","0.7068343271514999","31686","31686","31686","0.1146711393597929","0.03762382033881377","0.246950590068349","31685.2","31684","31686","0.7545956051442109","0.5188718464996391","0.9709319720860391","31686","31686","31686","0.5203628266744814","0.38129887486921277","0.7405278027377165","31685.2","31684","31686"
"11751","0.47578351009201836","0.34370824944092204","0.5945472423553801","31939","31939","31939","0.13827822611453724","0.06675489260026812","0.22386072852774772","31938.2","31937","31939","0.6848558770554745","0.41552874516432103","0.8928539678937528","31939","31939","31939","0.5124738692054722","0.3275123445816471","0.6103388232105735","31938.2","31937","31939"
"12001","0.5196304977296949","0.35821641569575857","0.6178028755199872","32192","32192","32192","0.11352591991755526","0.06464937732617683","0.2558377616282769","32191.2","32190","32192","0.7402569986302227","0.5005145698431988","0.9573717590624881","32192","32192","32192","0.5548866063311573","0.4076318151318866","0.6695486647861852","32191.2","32190","32192"
"12251","0.5132242675098663","0.3691239607676919","0.7388751894783887","32445","32445","32445","0.15062611373250873","0.0713423373338022","0.2384935670893551","32444.2","32443","32445","0.7455301471645827","0.4968975015928058","0.9087458966590044","32445","32445","32445","0.5621563680568017","0.37109075168808126","0.6814550529212504","32444.2","32443","32445"
"12501","0.526871808473558","0.3901273364943658","0.662227777190286","32698","32698","32698","0.13588285011301826","0.06369725835896065","0.24385052004974997","32697.2","32696","32698","0.7193182988410665","0.5774217025527643","0.924199276681197","32698","32698","32698","0.5612693654429662","0.2783287941323536","0.6828544531020815","32697.2","32696","32698"
"12751","0.5374897608466505","0.35978361580815604","0.7416167262114883","32951","32951","32951","0.1712834972077203","0.06326147410763297","0.2947033691260966","32950.2","32949","32951","0.7429616978437191","0.42607012585300746","0.9743706125991318","32951","32951","32951","0.5289135704036254","0.4185988299922331","0.7427892428265442","32950.2","32949","32951"
"13001","0.516083700097751","0.34793568251728546","0.6231128851185767","33204","33204","33204","0.14168031920664576","0.06761370533783767","0.24450847850172477","33203.2","33202","33204","0.7391372799361402","0.6329794296232364","0.8641869466101184","33204","33204","33204","0.4986528496699649","0.19278008199791166","0.7520748536456296","33203.2","33202","33204"
"13251","0.5335015586184632","0.3369319997514118","0.8829794263852696","33457","33457","33457","0.14179537461762529","0.0537400741055416","0.270492346126426","33456.2","33455","33457","0.6759015155934213","0.42641041179867495","0.8951635193650547","33457","33457","33457","0.5086809090392606","0.36544293663627564","0.6262607380133329","33456.2","33455","33457"
"13501","0.5157378531056838","0.35583984277629005","0.7889516729591285","33710","33710","33710","0.14341657726595283","0.06902750944177663","0.2457524551998187","33709.2","33708","33710","0.7499624507494121","0.37363065668335027","0.9653026716137368","33710","33710","33710","0.5128940726469302","0.2695576517302394","0.6856689679785251","33709.2","33708","33710"
"13751","0.520747383800021","0.3225351775310124","0.6743201964342037","33963","33963","33963","0.17982649414736399","0.05962823153469567","0.37730316525609847","33962.2","33961","33963","0.7309420577111451","0.5793672333004167","0.9211641891772296","33963","33963","33963","0.5667969275613507","0.3495639612897391","0.6823617302008943","33962.2","33961","33963"
"14001","0.5092270056103745","0.2091845842573091","0.7502116165507308","34216","34216","34216","0.16184905577142267","0.05354163171179364","0.3036643509317011","34215.2","34214","34216","0.7324152769338009","0.34338896323735235","0.9930222991137146","34216","34216","34216","0.5159001576838456","0.3224893343260705","0.6720534681197554","34215.2","34214","34216"
"14251","0.568474478187699","0.4134685208764637","0.6987329895835362","34469","34469","34469","0.13602329934709634","0.05923888162324513","0.2538860222664389","34468.2","34467","34469","0.6686746512179874","0.4348932404559198","0.970933148231767","34469","34469","34469","0.5698663477181322","0.220615565665164","0.7265557810152063","34468.2","34467","34469"
"14501","0.5310084220512682","0.3548582664333501","0.7067065767920974","34722","34722","34722","0.15944682532251003","0.04506629220838941","0.33319388302907627","34721.2","34720","34722","0.737012805597816","0.5100308929588938","0.9557642707724368","34722","34722","34722","0.5201006426536268","0.22923488770825076","0.7110332038469072","34721.2","34720","34722"
"14751","0.5153622014804891","0.39847909214027294","0.6947846485310043","34975","34975","34975","0.1611482967487634","0.05352089143597109","0.31635069109662795","34974.2","34973","34975","0.7554141323979502","0.5083017514927993","0.921226934974285","34975","34975","34975","0.4913874018218607","0.1765286788975033","0.7330124361073586","34974.2","34973","34975"
"15001","0.5186730863542596","0.33062972172610766","0.8320345203510437","35228","35228","35228","0.14644500253967407","0.05988183833078011","0.2767682108373625","35227.2","35226","35228","0.6343101268587998","0.3603653337331305","0.8845074123285701","35228","35228","35228","0.5531854688415185","0.3783402588155707","0.6572537132385944","35227.2","35226","35228"
