"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_spearman","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_spearman","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"6251","0.3160807879155328","0.24193562132144386","0.40248749122383326","16372","16372","16372","0.39469716586546333","0.3063812886907068","0.511583322155241","26372.4","26371","26373","0.661778020166061","0.5689419873144076","0.7346076936331765","26372.2","26371","26373"
"6501","0.31304085544087523","0.25000008828061915","0.3901593230697236","16625","16625","16625","0.39966788570345513","0.30759041897106265","0.5466282102005005","26625.4","26624","26626","0.6696036208290737","0.5783950870348052","0.7416196278182551","26625.2","26624","26626"
"6751","0.3060669569259045","0.23842846189855468","0.3429614717482648","16878","16878","16878","0.3946367291760196","0.31172241958828467","0.5414144347739122","26878.4","26877","26879","0.6719242598148907","0.5761668866016925","0.7436665222586323","26878.2","26877","26879"
"7001","0.31311395140535914","0.24116458357116438","0.3754027265866211","17131","17131","17131","0.3926455037860092","0.308802874266077","0.5370951287160978","27131.4","27130","27132","0.6770489392408411","0.5771826536959577","0.7472506881678002","27131.2","27130","27132"
"7251","0.30146146733207096","0.25441448885080103","0.409309852966704","17384","17384","17384","0.3946290610407228","0.30841409456807106","0.5490305613816114","27384.4","27383","27385","0.6792752273730049","0.581309392736341","0.7477057184292845","27384.2","27383","27385"
"7501","0.3113019148222691","0.25897851743201883","0.4071828250978241","17637","17637","17637","0.3930546279092851","0.3020351412336669","0.5581908331014898","27637.4","27636","27638","0.6859913308997447","0.5853313265034921","0.7526334411264696","27637.2","27636","27638"
"7751","0.30630149261157086","0.24173897183093765","0.39753023541519134","17890","17890","17890","0.3919183204976262","0.2820624310951053","0.5590766057951821","27890.4","27889","27891","0.6890241196232728","0.5900838682744363","0.75651327041173","27890.2","27889","27891"
"8001","0.30091652274487285","0.21843953260164156","0.39711169204653596","18143","18143","18143","0.38266129633529683","0.2929344364018499","0.48833750807509635","28143.4","28142","28144","0.6942525902303254","0.5884203781957649","0.7641533611017981","28143.2","28142","28144"
"8251","0.30477526478812555","0.25240713446020163","0.3690511118346028","18396","18396","18396","0.38303388073599365","0.28206799747230626","0.5100715856011572","28396.4","28395","28397","0.695495886382149","0.5834477262596109","0.7750337058573985","28396.2","28395","28397"
"8501","0.3032823161621688","0.21770034512794978","0.40038018391674524","18649","18649","18649","0.38134429088405647","0.27487908790595217","0.526964005993038","28649.4","28648","28650","0.7011475089542768","0.590096738365586","0.7704213680026538","28649.2","28648","28650"
"8751","0.30906528086060786","0.27459264362941904","0.34928421659199493","18902","18902","18902","0.38523220588174756","0.2619953019287421","0.5487948509282836","28902.4","28901","28903","0.7028878238299481","0.5921928682035871","0.781376610324408","28902.2","28901","28903"
"9001","0.2905866601173274","0.2145328551440262","0.3450118919397477","19155","19155","19155","0.39123957939870346","0.27521375522625374","0.5595184953605602","29155.4","29154","29156","0.7071960797769594","0.5875180362811153","0.7916848849465553","29155.2","29154","29156"
"9251","0.29498665896729986","0.25465636899796645","0.3490614831775765","19408","19408","19408","0.3925742508774689","0.28349445664139783","0.5662067811045034","29408.4","29407","29409","0.7089680735989154","0.5927639494418526","0.7988729457232269","29408.2","29407","29409"
"9501","0.29956095887475453","0.2347700877953645","0.348435708891638","19661","19661","19661","0.3988121494665016","0.2830526286241149","0.5783044373756521","29661.4","29660","29662","0.7124667686454875","0.5941843216988014","0.801846832800736","29661.2","29660","29662"
"9751","0.2900265372548353","0.2238494868646065","0.35608596097255296","19914","19914","19914","0.40975939188742244","0.29355418804290684","0.6021411186628919","29914.4","29913","29915","0.7147158630350345","0.5981287167939799","0.8010833047707715","29914.2","29913","29915"
"10001","0.29265263877269704","0.2524314354733369","0.35596705659646455","20167","20167","20167","0.4204840471938495","0.29353981325774037","0.6092083200177848","30167.4","30166","30168","0.7186817753945166","0.5950163927034922","0.8014684244156325","30167.2","30166","30168"
"10251","0.28887500988176373","0.23545337949487988","0.3672855674326728","20420","20420","20420","0.4247236844350761","0.29220250172679024","0.6225909832926754","30420.4","30419","30421","0.7220408013494103","0.5952706951893786","0.8090074667131331","30420.2","30419","30421"
"10501","0.29517164643737537","0.23798255043074237","0.36693758787221725","20673","20673","20673","0.4343740511649245","0.3026230595727691","0.6329183372460696","30673.4","30672","30674","0.724790494748125","0.5937713052692298","0.813168744441127","30673.2","30672","30674"
"10751","0.27994569913165557","0.23029801405718428","0.3180292045609201","20926","20926","20926","0.4427694956497401","0.3036993576532193","0.6361988354391276","30926.4","30925","30927","0.7276513629138959","0.5934229655053352","0.8125683464967205","30926.2","30925","30927"
"11001","0.28164353179113233","0.18810556168050016","0.37285699604833455","21179","21179","21179","0.44959325790030613","0.310186211212442","0.6458810984409233","31179.4","31178","31180","0.729668487547509","0.5897011143850593","0.818986264175029","31179.2","31178","31180"
"11251","0.28553974325006576","0.23943349030614666","0.32357201193640467","21432","21432","21432","0.4445488768902785","0.30804684200662774","0.5527011994038685","31432.4","31431","31433","0.7321310780396694","0.6011647991345783","0.820578772308347","31432.2","31431","31433"
