"stage1/step","Group: VaDE_Complicate_gauss - stage1/mcc_pearson","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: VaDE_Simple_gauss - stage1/mcc_pearson","Group: VaDE_Simple_gauss - stage1/mcc_pearson__MIN","Group: VaDE_Simple_gauss - stage1/mcc_pearson__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: VaDE_Simple_gumbel - stage1/mcc_pearson","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MIN","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: VaDE_Simple_cauchy - stage1/mcc_pearson","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX"
"5001","0.5654617331317304","0.520319401203558","0.6423820055732195","5022","5022","5022","0.5659916478194245","0.5057687079744769","0.6248675551945049","5022","5022","5022","0.22464411570217754","0.14578988832977421","0.2816298381981174","5022","5022","5022","0.8168800456975932","0.6962692373081502","0.9323604483817451","5022","5022","5022","0.7223353115713671","0.6097850301855653","0.8089086218356972","5022","5022","5022","0.40726451577900685","0.24298811953334698","0.6343879522676198","5022","5022","5022"
"5251","0.5625653294543235","0.5180795836481004","0.6373456704746945","5273","5273","5273","0.5663915280665274","0.499402322988728","0.6325305056283023","5273","5273","5273","0.2237123888854505","0.15456025552445082","0.3113845514039855","5273","5273","5273","0.8421661140535344","0.6495436691756872","0.9737047902974688","5273","5273","5273","0.7681799989197844","0.6926904186670964","0.8423689745651123","5273","5273","5273","0.3716505798305576","0.2401694772816867","0.5372450647813382","5273","5273","5273"
"5501","0.5580823271878814","0.5179942829851354","0.6358071453759113","5524","5524","5524","0.5666628578463248","0.5096966086228585","0.6222001294254881","5524","5524","5524","0.20011226078972472","0.09432168593861702","0.2985080457347729","5524","5524","5524","0.8258695834517745","0.6894038791296948","0.9381940500645646","5524","5524","5524","0.7636542164016509","0.6029873866497875","0.9451367361301494","5524","5524","5524","0.40844301545090256","0.1462670869689963","0.6080656136286248","5524","5524","5524"
"5751","0.5621637268960893","0.5223480370804867","0.640678296581058","5775","5775","5775","0.5673978194715178","0.5054390468834048","0.6390966013847093","5775","5775","5775","0.1830075790116054","0.10545305256787889","0.27677816551351964","5775","5775","5775","0.8462651123518856","0.7501194153943622","0.9410105066445804","5775","5775","5775","0.76349928201627","0.6263366944255752","0.9426328044476442","5775","5775","5775","0.41976250616496147","0.21752599402116155","0.6903566187143025","5775","5775","5775"
"6001","0.5623866480862548","0.5200058888991597","0.6403850483287172","6026","6026","6026","0.5675206426075704","0.5102788779123638","0.6390076014915863","6026","6026","6026","0.1960201121244301","0.07786566718096889","0.40018046535777635","6026","6026","6026","0.8345009504330001","0.6492539377842664","0.9400317221228992","6026","6026","6026","0.7530659297666321","0.6505740334690208","0.8262874215787779","6026","6026","6026","0.408270571646517","0.22115268997570184","0.5363253779091789","6026","6026","6026"
"6251","0.5611922053551821","0.5122299584896342","0.6417284704705599","6277","6277","6277","0.56425612057513","0.5007251954597867","0.6352720907378749","6277","6277","6277","0.20335045790545964","0.11631923429471688","0.29519075331029204","6277","6277","6277","0.840859694715343","0.7523552787121836","0.9379809841739065","6277","6277","6277","0.7596250070501487","0.628340249836828","0.9048669046548398","6277","6277","6277","0.35465231834991645","0.1773656025845111","0.6557730178858409","6277","6277","6277"
"6501","0.5616742767841132","0.509122597537802","0.6416311291895352","6528","6528","6528","0.5625191259516172","0.510633548708707","0.6330079531376377","6528","6528","6528","0.21038669565096893","0.1416604661908301","0.32507485399425423","6528","6528","6528","0.8342357947821007","0.7603845360226488","0.9464616897932266","6528","6528","6528","0.7628952007083794","0.6035281703052152","0.9283512826023941","6528","6528","6528","0.42056155042469945","0.25116096656554926","0.6670669501427048","6528","6528","6528"
"6751","0.5612007149621969","0.5260800831430261","0.6263698615202341","6779","6779","6779","0.5671291155882476","0.5159721194234461","0.6409686130560311","6779","6779","6779","0.20191645836306676","0.11174287949291897","0.2992344224298471","6779","6779","6779","0.8531844797950316","0.7732701876977705","0.9350212735889979","6779","6779","6779","0.7632644811527168","0.5697953514847868","0.9178296378618495","6779","6779","6779","0.42924202242261017","0.19777447623084887","0.6663667825387842","6779","6779","6779"
"7001","0.5610914687764048","0.5266956818575036","0.6297284695543737","7030","7030","7030","0.5650472010257921","0.5196552705106656","0.6399659933036739","7030","7030","7030","0.1814401621962091","0.11722594595530218","0.2564310340341388","7030","7030","7030","0.8337971471909154","0.7164882713155972","0.9352988646949206","7030","7030","7030","0.7483801759663188","0.598181739088682","0.9051410446491785","7030","7030","7030","0.4487082855130956","0.24506296597861513","0.6005262044505665","7030","7030","7030"
"7251","0.5619453007232817","0.520771092239901","0.6353960577098018","7281","7281","7281","0.5721104945814052","0.5256093713465592","0.6397315859475657","7281","7281","7281","0.2634079990245176","0.12272909043417927","0.37365314999129906","7281","7281","7281","0.8104178561401392","0.6603804649510631","0.9320387179746111","7281","7281","7281","0.7610481149538519","0.6144736611223515","0.9091605987797887","7281","7281","7281","0.3674642642517795","0.1757419901621663","0.5937322029831545","7281","7281","7281"
