"stage2/step","Group: Danru_Complicate_cauchy - stage2/mcc_pearson","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_pearson","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_pearson","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_pearson","Group: Danru_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_pearson","Group: Danru_Simple_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Simple_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Danru_Simple_gauss - stage2/mcc_pearson","Group: Danru_Simple_gauss - stage2/mcc_pearson__MIN","Group: Danru_Simple_gauss - stage2/mcc_pearson__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX"
"7501","0.24405686102609514","0.13227261820093783","0.42461248664700857","27637.2","27636","27638","0.42448409499770773","0.31292668641334787","0.6383781687869152","27637.4","27636","27638","0.5044310632313365","0.23751310621860372","0.5888832935960114","27637.4","27636","27638","0.38183791292072466","0.16965620854379107","0.5683529169548523","27638","27638","27638","0.4590580999071336","0.23600183513026715","0.8005532777405863","27638","27638","27638","0.5236872654203373","0.07991340153286082","0.889860003017133","27638","27638","27638"
"7751","0.25663854709009787","0.18954047560495743","0.3577166332642914","27890.2","27889","27891","0.42431182312825716","0.28331621988744804","0.6370881256482568","27890.4","27889","27891","0.487263089197617","0.23373112476723645","0.5932145282451358","27890.4","27889","27891","0.35438687012254777","0.08185281114178682","0.610426040453966","27891","27891","27891","0.4573584301443602","0.2455370094482002","0.796367528932684","27891","27891","27891","0.5371073750494876","0.07897392100042393","0.903561560353081","27891","27891","27891"
"8001","0.2428285667359634","0.12949234300852897","0.4021267816454398","28143.2","28142","28144","0.41244460431174856","0.2918428199613351","0.5489202382767215","28143.4","28142","28144","0.499321921009343","0.24030739679807747","0.5911380614696768","28143.4","28142","28144","0.3265761953736927","0.03855894748896011","0.6383643895496239","28144","28144","28144","0.45946176668005895","0.21666518452591577","0.7979177025593599","28144","28144","28144","0.551607258159646","0.08538173202225663","0.8734649827876745","28144","28144","28144"
"8251","0.20350159021447328","0.13351178158494584","0.26984586682615036","28396.2","28395","28397","0.4152770297336502","0.27749421894262394","0.5776422697298842","28396.4","28395","28397","0.505535505494574","0.23049911145899146","0.5977692000456548","28396.4","28395","28397","0.4060608387561727","0.12240214138329723","0.6064734337990414","28397","28397","28397","0.4597642820260526","0.23445490586738357","0.8092706406842577","28397","28397","28397","0.5449496208292877","0.0908114249224838","0.8627380251577016","28397","28397","28397"
"8501","0.27533780865810853","0.14207006904435313","0.41191154840938865","28649.2","28648","28650","0.41048826262251453","0.2750654975701939","0.5948084806370881","28649.4","28648","28650","0.5090003876261393","0.23833017100427104","0.5873758768690367","28649.4","28648","28650","0.37783654490236535","0.19556320636526006","0.5100686541201617","28650","28650","28650","0.46584967730706095","0.21142638431796038","0.8062396055678885","28650","28650","28650","0.5520740844139734","0.0943612158932992","0.8856224042732563","28650","28650","28650"
"8751","0.24076396156858298","0.14584214075081128","0.4422836620679854","28902.2","28901","28903","0.41703615696467145","0.26730861258774746","0.6162497602060062","28902.4","28901","28903","0.5148875332485192","0.22614776248281615","0.5782507960845609","28902.4","28901","28903","0.3761969758513311","0.1775305458479719","0.5850472990268446","28903","28903","28903","0.4734933767045767","0.2448328645844231","0.8149115051935384","28903","28903","28903","0.553344839325258","0.12880216645944623","0.86415218085402","28903","28903","28903"
"9001","0.24140667903871638","0.10837555456003159","0.37888589009002777","29155.2","29154","29156","0.4245585716737302","0.2778667762220851","0.6314774568812661","29155.4","29154","29156","0.5253749442614991","0.23830349463009265","0.5854828746130635","29155.4","29154","29156","0.447029233722769","0.1810889050849812","0.6375793832506368","29156","29156","29156","0.47115469950632294","0.21811277332826187","0.7971925701915265","29156","29156","29156","0.5549276388011533","0.10635978588243272","0.8886575373606798","29156","29156","29156"
"9251","0.23294741451777062","0.10785602378096477","0.37416370401588017","29408.2","29407","29409","0.4255380457976985","0.28500655013814313","0.6418508755830328","29408.4","29407","29409","0.5321154890929761","0.23924424888749898","0.5972080837416082","29408.4","29407","29409","0.40674938735711913","0.17630331082445014","0.6158480753936427","29409","29409","29409","0.4767760205929693","0.23906568859369917","0.8094520996803386","29409","29409","29409","0.5611837553045955","0.12338376249028993","0.8884903572438724","29409","29409","29409"
"9501","0.22789506208468135","0.1422126384370531","0.3312014799283874","29661.2","29660","29662","0.43406068241979767","0.29248314791041313","0.6610381089021308","29661.4","29660","29662","0.5392485110747831","0.23802611976564236","0.6009438194404414","29661.4","29660","29662","0.34976227261837123","0.04472897252694493","0.563565733077282","29662","29662","29662","0.48478689631401906","0.2408151674481441","0.8191074171592438","29662","29662","29662","0.5628998739458849","0.13892744837121282","0.8863254253101239","29662","29662","29662"
"9751","0.22693314271592083","0.14344313429203684","0.31804240171167875","29914.2","29913","29915","0.4483003643453756","0.2970421758530464","0.6897164049473357","29914.4","29913","29915","0.5440145955075789","0.2515835340583129","0.6021712626349862","29914.4","29913","29915","0.36946199303844274","0.1326214714947799","0.5375059738851379","29915","29915","29915","0.48727689204371494","0.20825609016419674","0.8298757228665542","29915","29915","29915","0.5649899145299926","0.15595577290056525","0.8758989548508445","29915","29915","29915"
"10001","0.22106889161732995","0.10089986415153648","0.3160955477654269","30167.2","30166","30168","0.4604541852348632","0.30992034677759805","0.6918620739299308","30167.4","30166","30168","0.5448216484126068","0.2545588642647429","0.6021945596743142","30167.4","30166","30168","0.3511374150325175","0.10269102235148074","0.5693500072995381","30168","30168","30168","0.4909933787106396","0.24728275066849667","0.8305944278118501","30168","30168","30168","0.569737787387387","0.15403897072010772","0.8814603978191465","30168","30168","30168"
"10251","0.2282383930309296","0.1395766098183929","0.3752796096535131","30420.2","30419","30421","0.4670550875810521","0.30495344169056066","0.7092099201226059","30420.4","30419","30421","0.5472715625957367","0.2533204408016455","0.6038973537613053","30420.4","30419","30421","0.3676928741827896","0.17830971235240609","0.606660844985067","30421","30421","30421","0.4916852151368902","0.2385507370641127","0.8295863081491763","30421","30421","30421","0.5868102133839593","0.2771978789005451","0.8874778907444955","30421","30421","30421"
"10501","0.2367982628030955","0.10033796779006729","0.385504367543574","30673.2","30672","30674","0.47830736809608754","0.3135807313572763","0.7191609754285359","30673.4","30672","30674","0.5516148882378334","0.2658661869791611","0.6108123892948671","30673.4","30672","30674","0.3579220215355972","0.053566614060989844","0.565423080702022","30674","30674","30674","0.49370750310126876","0.23582570514920154","0.8413170196143525","30674","30674","30674","0.6020733063229626","0.3351005976100909","0.8916945274478247","30674","30674","30674"
"10751","0.23105640634859115","0.14873686334740535","0.3204084322191477","30926.2","30925","30927","0.49003782116837974","0.314207174897101","0.7328299422260485","30926.4","30925","30927","0.5425260498564688","0.2800748829533469","0.6094499817571302","30926.4","30925","30927","0.3701649104601196","0.13292772557760027","0.6506789799239555","30927","30927","30927","0.5007955298545819","0.25182416368624466","0.8465521425870742","30927","30927","30927","0.6146136467214177","0.43388471702185427","0.8788274970816864","30927","30927","30927"
