"stage2/step","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"5751","0.5379342281511234","0.3425789468807569","0.6371458992935822","25867","25867","25867","0.2442869022006744","0.13504246545870022","0.31963952845583427","25866.2","25865","25867","0.6729431837283196","0.5982300446922009","0.7649400986576027","25867","25867","25867","0.49459272052355346","0.41311889917947264","0.5802390666045404","25866.2","25865","25867"
"6001","0.5376859568106732","0.3489239618889979","0.6369460113198073","26120","26120","26120","0.24287753276236718","0.1277630246500153","0.3212189646991722","26119.2","26118","26120","0.6669633972949246","0.6259113438049252","0.7572103294618078","26120","26120","26120","0.4992364413153756","0.43357641687754783","0.5819030818843851","26119.2","26118","26120"
"6251","0.5391385176382294","0.351373767284833","0.645812724134285","26373","26373","26373","0.2400416247382609","0.13929758727918792","0.31917219719767076","26372.2","26371","26373","0.6771025462477622","0.6212178679585506","0.7636483552122909","26373","26373","26373","0.4917070712003911","0.42890630735557184","0.597907697180421","26372.2","26371","26373"
"6501","0.5377887983785877","0.3532956659230146","0.6445393670571944","26626","26626","26626","0.23715434505027427","0.12619128440704575","0.32157320119066807","26625.2","26624","26626","0.6782312586134038","0.6104187447037601","0.7609501796363315","26626","26626","26626","0.4931705010252199","0.42994069233673154","0.5841019275093371","26625.2","26624","26626"
"6751","0.5398325468998847","0.3351575124635206","0.6444972722758653","26879","26879","26879","0.242623523987365","0.14267486684434383","0.3199088297384556","26878.2","26877","26879","0.6741352273621705","0.6238802034417729","0.7615434023488749","26879","26879","26879","0.49771026127475515","0.42369115560139275","0.5883002876580438","26878.2","26877","26879"
"7001","0.5403383322791225","0.3355996373184888","0.6480729045215221","27132","27132","27132","0.22871853834246464","0.12363117264609105","0.323353379478789","27131.2","27130","27132","0.6731646364920558","0.6165928523258061","0.763521625074076","27132","27132","27132","0.4982856640781034","0.42733225165377675","0.6017810267397137","27131.2","27130","27132"
"7251","0.5436847599560115","0.3399113793835493","0.6466593427989925","27385","27385","27385","0.2273472562095696","0.12594611578104914","0.3269884049610062","27384.2","27383","27385","0.674968509251668","0.6225815525410247","0.7621129126471319","27385","27385","27385","0.49357814711002745","0.4340941507369189","0.5897653332573655","27384.2","27383","27385"
"7501","0.5647991253821919","0.4857647378400773","0.6432662624843214","27638","27638","27638","0.24595974540940388","0.1402577667145933","0.31363773462914296","27637.2","27636","27638","0.6750542486512229","0.6089904432970134","0.7620536691021318","27638","27638","27638","0.4852688178058172","0.4251859808801197","0.5367522812593382","27637.2","27636","27638"
"7751","0.5524291325425079","0.4382884322871948","0.6419724805583017","27891","27891","27891","0.23794703759047833","0.14145904250529656","0.30952460979588564","27890.2","27889","27891","0.6854458809339654","0.5918213580381014","0.7615210776035788","27891","27891","27891","0.4927033313056917","0.4317308039841013","0.5933551708226393","27890.2","27889","27891"
"8001","0.5534730921616575","0.4462545850115536","0.6469644918864859","28144","28144","28144","0.2374657131356932","0.15007725998415325","0.3027124304509142","28143.2","28142","28144","0.6711659198495684","0.5702239954617099","0.7632644555113873","28144","28144","28144","0.4969823067551699","0.4457052919161228","0.5931111164382298","28143.2","28142","28144"
"8251","0.5627198152549028","0.467834854582599","0.6451500619995031","28397","28397","28397","0.22608037460009464","0.10891077191884002","0.3057031938131295","28396.2","28395","28397","0.6879044643675023","0.5708922044950727","0.7642939536064156","28397","28397","28397","0.49812701711577506","0.4437728108868188","0.5939698902039741","28396.2","28395","28397"
"8501","0.5632310441443826","0.4836094986136689","0.6537624298521768","28650","28650","28650","0.23225116636518664","0.15739140948483007","0.29130135661567697","28649.2","28648","28650","0.6716354045561117","0.5732099901500983","0.7617783024706289","28650","28650","28650","0.4998846738050665","0.44349940730345017","0.5968040934455539","28649.2","28648","28650"
"8751","0.5651899040609536","0.4871079410029296","0.6525743582709448","28903","28903","28903","0.22830200431770034","0.15077007995509834","0.30119369567429116","28902.2","28901","28903","0.6742896604927937","0.5721194615630355","0.760044675552335","28903","28903","28903","0.5021414430617955","0.4430292099602836","0.5998651676807014","28902.2","28901","28903"
"9001","0.5748240288225319","0.49909157215461714","0.6508201814373983","29156","29156","29156","0.2269475639284592","0.15817286953685172","0.3052976918513369","29155.2","29154","29156","0.6649491565577627","0.570697342799276","0.7594768411864505","29156","29156","29156","0.5017001010515363","0.4396251756082113","0.5992333755988755","29155.2","29154","29156"
"9251","0.5742127079738888","0.4926019209329742","0.6537350755733634","29409","29409","29409","0.23208551106036196","0.15281607208922965","0.32749859696315864","29408.2","29407","29409","0.6759050622043304","0.5727666728394247","0.7620967289725992","29409","29409","29409","0.5033867987992243","0.44789022493367375","0.5993007055163797","29408.2","29407","29409"
"9501","0.573811762729179","0.4906952392494059","0.6542379193764541","29662","29662","29662","0.23056125462608987","0.15845823146867938","0.31057716682154674","29661.2","29660","29662","0.671643004071867","0.5731593306796375","0.7626475394014373","29662","29662","29662","0.5028754188786247","0.44907520698060965","0.5918319686022528","29661.2","29660","29662"
"9751","0.5718851017993597","0.4929255667465522","0.637475983075393","29915","29915","29915","0.23146306985933326","0.1602524116687908","0.28965488377153004","29914.2","29913","29915","0.6681330810035422","0.5711854836700424","0.7410670271922989","29915","29915","29915","0.5032414280580635","0.4396911491572605","0.600694195794626","29914.2","29913","29915"
"10001","0.5696657895483519","0.509016660071543","0.6367805914112311","30168","30168","30168","0.23433346508202435","0.17596373018443606","0.29510997484953755","30167.2","30166","30168","0.6864043936823809","0.5731377294237373","0.7580758553556218","30168","30168","30168","0.5026455043993794","0.4417729525019295","0.6021034767334028","30167.2","30166","30168"
"10251","0.5689491610909497","0.499466846563104","0.6371223049216984","30421","30421","30421","0.23496165322889526","0.14091735944163136","0.29953085103939675","30420.2","30419","30421","0.6922529015521158","0.572210695293204","0.7610225758612158","30421","30421","30421","0.49744192532172404","0.41592861435267753","0.5942657300092813","30420.2","30419","30421"
"10501","0.5695708113328892","0.5094176912203757","0.643400416558218","30674","30674","30674","0.23722673517045142","0.12177619053618008","0.32418986922429716","30673.2","30672","30674","0.6914082558341768","0.5706250273515924","0.7620225774418042","30674","30674","30674","0.5037363960148078","0.43502968196619624","0.5976710247320766","30673.2","30672","30674"
"10751","0.5691112609313125","0.5059799305146424","0.644838671436847","30927","30927","30927","0.24182451203579652","0.16735965146650406","0.32274595654850446","30926.2","30925","30927","0.6893539514266593","0.5718125348026899","0.7605952646827943","30927","30927","30927","0.5030670898795099","0.4414598867912747","0.5926812086829268","30926.2","30925","30927"
"11001","0.5715075836083657","0.5293127156257471","0.6427199356199553","31180","31180","31180","0.2522234869451824","0.20041887354277765","0.3304624233498041","31179.2","31178","31180","0.6878977212739413","0.57057531069337","0.7594219006234595","31180","31180","31180","0.5032774053266583","0.44163694340374454","0.597964120486052","31179.2","31178","31180"
"11251","0.5721222682581935","0.5288778999006076","0.6402806297736148","31433","31433","31433","0.24954917238226085","0.20994483978294065","0.30576288028942156","31432.2","31431","31433","0.6897520497493004","0.5685096795857004","0.7584441818735227","31433","31433","31433","0.5004677093571879","0.44429980236064914","0.5784328623396123","31432.2","31431","31433"
