"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_spearman","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_spearman","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"5001","0.34167710562986586","0.2731729270696206","0.4363399553810696","15107","15107","15107","0.4570070822175488","0.23424485976734877","0.5135890553533456","25107.4","25106","25108","0.625693614128821","0.5210852864578233","0.7667403628862912","25107.2","25106","25108"
"5251","0.3380656513524597","0.27594558796160795","0.43839699377173746","15360","15360","15360","0.4612214355363268","0.23203088410237033","0.5231814441175479","25360.4","25359","25361","0.6301524581082047","0.5189232067446493","0.7740675928895188","25360.2","25359","25361"
"5501","0.3295608127116015","0.26334153077642525","0.3817172741932339","15613","15613","15613","0.4680707416842286","0.22877096939017813","0.5211734724244605","25613.4","25612","25614","0.633043871527644","0.5157235741486993","0.7790336470925385","25613.2","25612","25614"
"5751","0.34033815737529327","0.29071269504172503","0.3979962209019704","15866","15866","15866","0.4695992073568904","0.23474045943488572","0.5287574741456144","25866.4","25865","25867","0.6369504979621332","0.5116215692481721","0.7857969290573751","25866.2","25865","25867"
"6001","0.34508996692194005","0.3029471169622256","0.37226577749466583","16119","16119","16119","0.47483450663522986","0.23840303396743745","0.5344309910633709","26119.4","26118","26120","0.6406651229583822","0.5191374557292353","0.789460216332244","26119.2","26118","26120"
"6251","0.3453505639032251","0.29885478218171324","0.39236495222176837","16372","16372","16372","0.47667747928065485","0.24323751166445","0.5338333613012274","26372.4","26371","26373","0.6450873084510013","0.5144563888241696","0.793443587176069","26372.2","26371","26373"
"6501","0.3384547299858968","0.22922085352848337","0.40508740729916326","16625","16625","16625","0.47159728130589346","0.24054609783669506","0.5362364159423743","26625.4","26624","26626","0.6494586760639784","0.5229111498815692","0.8020614383381082","26625.2","26624","26626"
"6751","0.3450692017561195","0.2999869452374889","0.4002759696722256","16878","16878","16878","0.47408433145147455","0.23944383169777894","0.5325194557419644","26878.4","26877","26879","0.6520985652943274","0.5262387284664644","0.8058931795284815","26878.2","26877","26879"
"7001","0.3463276459420139","0.3052196338210367","0.3988027069585974","17131","17131","17131","0.44910027064295094","0.24293496636525277","0.5393827580067907","27131.4","27130","27132","0.6525787423229272","0.5266140355523274","0.8092276085639739","27131.2","27130","27132"
"7251","0.3286917841111427","0.27406835022445514","0.36708319214542123","17384","17384","17384","0.4598897352725982","0.24057097158982438","0.5323484169227554","27384.4","27383","27385","0.6578524367813691","0.5214653012272238","0.8085740922423856","27384.2","27383","27385"
"7501","0.321371593620002","0.2823277091158668","0.35516556444202646","17637","17637","17637","0.45197408635590125","0.24343051602986718","0.521457879813277","27637.4","27636","27638","0.6614380785485882","0.5299018572924179","0.8164687421729993","27637.2","27636","27638"
"7751","0.3330951506331422","0.2913748738206651","0.39145419283359717","17890","17890","17890","0.4384829499022807","0.24396430724300905","0.5250856202898595","27890.4","27889","27891","0.6634714167375948","0.5293028340386893","0.8154634765326625","27890.2","27889","27891"
"8001","0.33612899793409484","0.2981901515526395","0.3903781604797617","18143","18143","18143","0.4485987515184361","0.25097422111601697","0.5223058569866013","28143.4","28142","28144","0.666996516114601","0.5283464830828442","0.8200084435026588","28143.2","28142","28144"
"8251","0.32204883162916204","0.2709225776600946","0.3787679197598072","18396","18396","18396","0.45570371801674314","0.24201391696679425","0.5262070269517581","28396.4","28395","28397","0.670843249774203","0.5265179156779914","0.8256365611612713","28396.2","28395","28397"
"8501","0.33681351950890087","0.27828787881272676","0.4243390373511109","18649","18649","18649","0.45690362490137276","0.24974264007119595","0.5164994331906692","28649.4","28648","28650","0.6725174053947598","0.5305434794991206","0.8268943330373684","28649.2","28648","28650"
