"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_pearson","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_pearson","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"5001","0.32090407382619984","0.2612731208751337","0.3930710141938167","15107","15107","15107","0.4212894568672224","0.3130076512628899","0.5591756504251759","25107.4","25106","25108","0.7316005998116404","0.6388058478155505","0.8227186205945494","25107.2","25106","25108"
"5251","0.31728063307744314","0.23990703531828855","0.4499367587313204","15360","15360","15360","0.4168403095351862","0.3147430719818112","0.5626732189450798","25360.4","25359","25361","0.7385834342365436","0.6418317761550845","0.8319453453564144","25360.2","25359","25361"
"5501","0.3110983114199527","0.24657439687695532","0.4051778599357657","15613","15613","15613","0.41839365624509056","0.30724940253840866","0.5699527539586267","25613.4","25612","25614","0.7431735431711237","0.6421210977773552","0.834798429159801","25613.2","25612","25614"
"5751","0.31772220331293427","0.25123475816061924","0.41789994416926124","15866","15866","15866","0.42234679482881204","0.31435646450617866","0.5691062318525646","25866.4","25865","25867","0.747759364812629","0.6477883401629809","0.8348176810101606","25866.2","25865","25867"
"6001","0.3164823438797609","0.2313292126494655","0.438875522021707","16119","16119","16119","0.4262683690067474","0.31448471571802156","0.5709844033075981","26119.4","26118","26120","0.7542700282378219","0.6502221963934883","0.8408431319696188","26119.2","26118","26120"
"6251","0.3174713723908218","0.24998786270797915","0.4021734508174549","16372","16372","16372","0.4283472717678113","0.3159509719259025","0.5804428500450868","26372.4","26371","26373","0.7579100288986893","0.6431203191841237","0.8447329533467128","26372.2","26371","26373"
"6501","0.32522918285195856","0.2508252638712861","0.41494153217476626","16625","16625","16625","0.4322332813011637","0.3084478651725694","0.6184279850386067","26625.4","26624","26626","0.7657859465310404","0.6581261730860501","0.8488670793254428","26625.2","26624","26626"
"6751","0.31222164342153136","0.24768429587228735","0.3668713623227165","16878","16878","16878","0.4265392453358624","0.31353288433560145","0.614324242131448","26878.4","26877","26879","0.7677380487835535","0.6555233764287198","0.850400020293996","26878.2","26877","26879"
"7001","0.3125682571136238","0.2558199138972762","0.38989329322871796","17131","17131","17131","0.42332794788783457","0.3142963504445307","0.6156814531627547","27131.4","27130","27132","0.7747133734261855","0.6642109833216984","0.8540809088880883","27131.2","27130","27132"
"7251","0.31280275004743846","0.25916281057284735","0.40882778218194177","17384","17384","17384","0.42776345222124457","0.31719747639102686","0.6300643228948661","27384.4","27383","27385","0.7789889758761979","0.6623189142027905","0.8575251458301707","27384.2","27383","27385"
