"stage1/step","Group: VaDE_Simple_gauss - stage1/mcc_spearman","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MIN","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: Danru_Simple_gauss - stage1/mcc_spearman","Group: Danru_Simple_gauss - stage1/mcc_spearman__MIN","Group: Danru_Simple_gauss - stage1/mcc_spearman__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX","Group: Ours_Simple_gauss - stage1/mcc_spearman","Group: Ours_Simple_gauss - stage1/mcc_spearman__MIN","Group: Ours_Simple_gauss - stage1/mcc_spearman__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX"
"6751","0.7296936137629558","0.6640675889656523","0.7838464053168107","6779","6779","6779","0.637657540072986","0.4383606193694399","0.7069451655024737","13531","13531","13531","0.6667537311398749","0.6155845783304432","0.7719457189259412","13531","13531","13531"
"7001","0.7169613212020031","0.6060229832896079","0.7820047950117534","7030","7030","7030","0.636205979042967","0.43191223706932574","0.7037119907634564","14032","14032","14032","0.665693016890427","0.6148512216619801","0.7738426109139086","14032","14032","14032"
"7251","0.7053812204212481","0.5949765849641289","0.7788977849736728","7281","7281","7281","0.6362272938497893","0.4399781160512009","0.7026594463974872","14533","14533","14533","0.6662803789974495","0.6155724831833473","0.7717920310043432","14533","14533","14533"
"7501","0.7066327477267978","0.6406910139368317","0.7657381482673524","7532","7532","7532","0.635710234045997","0.4371963936828029","0.701372478764601","15034","15034","15034","0.6663046103279776","0.614754104984898","0.7725932848884032","15034","15034","15034"
"7751","0.6962587209074828","0.5882103485944327","0.7678431265883295","7783","7783","7783","0.6344047024019073","0.4304268345900943","0.7019229515782888","15535","15535","15535","0.6654359061142304","0.6145612824920467","0.7707813627680524","15535","15535","15535"
"8001","0.6962612722181585","0.5444558646162937","0.7733595436059604","8034","8034","8034","0.6337475764208506","0.4282596792644153","0.703223318540312","16036","16036","16036","0.6664112011897962","0.6150762802495641","0.7729326900018186","16036","16036","16036"
"8251","0.7099423711017813","0.6236169788734619","0.7826780276789501","8285","8285","8285","0.6338900035533694","0.4310830234139127","0.7026346902411463","16537","16537","16537","0.6655788238745165","0.6142538541188687","0.7739664046269321","16537","16537","16537"
"8501","0.7186536969648174","0.6312661691335059","0.7822775469626962","8536","8536","8536","0.6330464955062282","0.42446021935346323","0.7011994552253472","17038","17038","17038","0.6656852454361362","0.6153718898211938","0.7737555406080875","17038","17038","17038"
"8751","0.7053455251946693","0.5999905614063007","0.765695683132347","8787","8787","8787","0.6334967029198834","0.4327401115641674","0.6995357938173986","17539","17539","17539","0.6672581103643094","0.6159195246132286","0.7762908410570875","17539","17539","17539"
"9001","0.7199069544139014","0.6412280613625042","0.7804355388562034","9038","9038","9038","0.6317132635128877","0.4227488944393131","0.6994199778788036","18040","18040","18040","0.6657493872938026","0.6139357585992017","0.7747158210348234","18040","18040","18040"
"9251","0.7034938299858405","0.5924490920409559","0.7798870867609778","9289","9289","9289","0.6322279276137824","0.423833586196287","0.7006220853540693","18541","18541","18541","0.666319252576226","0.6149988560937055","0.7739704354848826","18541","18541","18541"
"9501","0.7160613529780424","0.6519282649759948","0.7787557542150737","9540","9540","9540","0.6322139961665658","0.43401058336487114","0.6975346087202007","19042","19042","19042","0.6659447241831319","0.6145111884064763","0.7748498669184748","19042","19042","19042"
"9751","0.7125999230974912","0.6460569508134967","0.7830366061466422","9791","9791","9791","0.6324130519561493","0.43178062388258137","0.7023022179467883","19543","19543","19543","0.6661901699966621","0.6170240110585362","0.7711911825494083","19543","19543","19543"
