"stage1/step","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_trunc_Complicate_cauchy - _step","Group: Ours_trunc_Complicate_cauchy - _step__MIN","Group: Ours_trunc_Complicate_cauchy - _step__MAX","Group: Ours_trunc_Simple_cauchy - stage1/mcc_pearson","Group: Ours_trunc_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_trunc_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_trunc_Simple_cauchy - _step","Group: Ours_trunc_Simple_cauchy - _step__MIN","Group: Ours_trunc_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gauss - stage1/mcc_pearson","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gumbel - stage1/mcc_pearson","Group: Ours_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX","Group: Ours_Simple_gauss - stage1/mcc_pearson","Group: Ours_Simple_gauss - stage1/mcc_pearson__MIN","Group: Ours_Simple_gauss - stage1/mcc_pearson__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX","Group: Ours_Simple_gumbel - stage1/mcc_pearson","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MIN","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"5001","0.5355406145475912","0.49397508281470415","0.5604956408213344","10024","10024","10024","0.7768917106605333","0.6509973867307507","0.8915843022756418","10024","10024","10024","0.5337335230219481","0.5044242909743136","0.5829118266321497","10024","10024","10024","0.689472491895633","0.35057647115810536","0.8457118545875592","10024","10024","10024","0.5621449296150252","0.5443074753144244","0.6076446391386442","10024","10024","10024","0.4474256734384189","0.18712748496396006","0.5423349120461173","10024","10024","10024","0.7551523130714257","0.644400019799631","0.9395717501294826","10024","10024","10024","0.7734617085512244","0.6199973413752716","0.906571491179203","10024","10024","10024"
"5251","0.536590672412155","0.4939758267099837","0.5619420143553627","10525","10525","10525","0.7782344366401606","0.6494157054836335","0.8939498963569473","10525","10525","10525","0.5345609714771549","0.5057946017396373","0.578154962824826","10525","10525","10525","0.6356671899333214","0.42465443740509423","0.7857141117067302","10525","10525","10525","0.5593165361777304","0.5404645020938785","0.6055568695208102","10525","10525","10525","0.4452410358871389","0.26300726620149706","0.5604885287524586","10525","10525","10525","0.7545001994681012","0.6373570865922111","0.941855376198015","10525","10525","10525","0.7750384552769688","0.6165452476364339","0.904578484152109","10525","10525","10525"
"5501","0.536720699171894","0.5002092972496779","0.5638644784001668","11026","11026","11026","0.7777437372635572","0.6505459777657453","0.8916354749397568","11026","11026","11026","0.5357599666260051","0.5083087540183403","0.5848529137129456","11026","11026","11026","0.5968673280406942","0.40940269190563766","0.8175729759301872","11026","11026","11026","0.5593445812800074","0.541368515624271","0.6028536471437536","11026","11026","11026","0.427889513734092","0.2412121080307516","0.5681984395994059","11026","11026","11026","0.7541208164427611","0.6305977830552364","0.9408391973199541","11026","11026","11026","0.7744407238426192","0.6162263275402079","0.9086218976467538","11026","11026","11026"
"5751","0.5371248790165718","0.4953143984653051","0.5607600371186388","11527","11527","11527","0.7778272617872982","0.6549592699393346","0.8921910979719883","11527","11527","11527","0.535859560852638","0.5094410108223112","0.5822591888369392","11527","11527","11527","0.616213944770109","0.3666440773594873","0.8138105708135525","11527","11527","11527","0.5594612616699262","0.5395623974428001","0.605121518722209","11527","11527","11527","0.4032019251379347","0.21559639073788656","0.5717635542844979","11527","11527","11527","0.7540944220533816","0.6383277109050587","0.9414338399805042","11527","11527","11527","0.7759539984470932","0.6191075291949059","0.909296356306684","11527","11527","11527"
"6001","0.537276114702166","0.5026163273745976","0.5595998810333477","12028","12028","12028","0.7788296065112503","0.6547125223086468","0.891249231653417","12028","12028","12028","0.5371386774786775","0.5097333115257194","0.5846446957329999","12028","12028","12028","0.6386038883820913","0.34927422443004635","0.8071126851882623","12028","12028","12028","0.5593055187748229","0.5390310175363784","0.6061141883442712","12028","12028","12028","0.4787043016671233","0.31979317166609034","0.5996681518030339","12028","12028","12028","0.7559597832720832","0.6364431147906057","0.9421082449008057","12028","12028","12028","0.7793584676633948","0.6249309152030147","0.9077086962272265","12028","12028","12028"
"6251","0.5389910984252131","0.4991650600164449","0.5633951688143264","12529","12529","12529","0.7799170863727442","0.6531096013986583","0.8933113105289578","12529","12529","12529","0.5358545770319979","0.5011133431114172","0.5860621112111705","12529","12529","12529","0.6600299027148568","0.4861842029942503","0.8322509214986692","12529","12529","12529","0.5601088528391225","0.5439563730647681","0.6066353643993156","12529","12529","12529","0.40527758010095855","0.2706762163501664","0.5118481110393454","12529","12529","12529","0.7564226420631746","0.6436949186073565","0.9411664274008423","12529","12529","12529","0.7781258855817816","0.6223219601304903","0.9070266580885296","12529","12529","12529"
"6501","0.5379858471530009","0.5002635064292044","0.5641490330677221","13030","13030","13030","0.7796022066041659","0.6485077899257045","0.8919185700997918","13030","13030","13030","0.5373149582134895","0.5109030265512053","0.5806027604353348","13030","13030","13030","0.6084491470753656","0.34341794507343565","0.9255475809006172","13030","13030","13030","0.5618100380758959","0.5425644855031222","0.6099522921524975","13030","13030","13030","0.44399300269421416","0.2354633082439425","0.594612459581968","13030","13030","13030","0.7544387326373433","0.6378309483672321","0.9437180566620139","13030","13030","13030","0.7781035506304088","0.6325002394694267","0.904385885301802","13030","13030","13030"
"6751","0.5389220230121046","0.5014513735825216","0.5644582012018421","13531","13531","13531","0.7808447043244049","0.6568341711130521","0.8934831801979034","13531","13531","13531","0.5376569443421241","0.5056882498609825","0.5848531829491181","13531","13531","13531","0.6569687246481744","0.4535767310733092","0.8085099987320522","13531","13531","13531","0.5605982531027354","0.5405990901724479","0.6102584747441162","13531","13531","13531","0.36446199432113635","0.1690415696281599","0.5482903683658897","13531","13531","13531","0.7568625230211843","0.6407498503300121","0.9427248507924276","13531","13531","13531","0.779283455217944","0.6301937952280523","0.9076113469233064","13531","13531","13531"
"7001","0.5386575465659137","0.4971823222452091","0.5642988863761396","14032","14032","14032","0.7814301095636395","0.6553532984586422","0.8946762223758807","14032","14032","14032","0.5377397823023841","0.5100593788686114","0.5836474786591918","14032","14032","14032","0.6099020870465393","0.4029789246311941","0.8759500093655861","14032","14032","14032","0.5614439797155703","0.5392519438181672","0.6083558543615613","14032","14032","14032","0.41363820164173426","0.20968964583143151","0.5223662792534316","14032","14032","14032","0.7548327912152324","0.6376884468507447","0.943841965858422","14032","14032","14032","0.7790661481801766","0.6308325499123022","0.9089250113595327","14032","14032","14032"
"7251","0.5403835192719063","0.4954882484489743","0.5641920488501289","14533","14533","14533","0.7794099092221107","0.6540130565092684","0.891419933086888","14533","14533","14533","0.5374302647879297","0.5066676415280496","0.58190949875138","14533","14533","14533","0.5912442474472892","0.36628261244284416","0.7988293283658638","14533","14533","14533","0.5604531181212431","0.5415243454188239","0.606115789646492","14533","14533","14533","0.3856658521280946","0.20234694008377319","0.518501357923254","14533","14533","14533","0.7553616139357","0.6397237106234823","0.9426017663725442","14533","14533","14533","0.7812231803323483","0.6323002891420519","0.9121810373092277","14533","14533","14533"
"7501","0.5419101763038312","0.5020709561537748","0.5642997371732792","15034","15034","15034","0.7804439590451272","0.6528968022096888","0.8940848123900192","15034","15034","15034","0.5380935454657004","0.500224884928949","0.5797293840073531","15034","15034","15034","0.5623955566947179","0.34865430320964164","0.7470196582693287","15034","15034","15034","0.5615301191147709","0.5390224221093841","0.6089371452091488","15034","15034","15034","0.46492354165453403","0.3696130488777939","0.5221366335852745","15034","15034","15034","0.755425836188384","0.633847547027902","0.9418733876883406","15034","15034","15034","0.7803769584439367","0.6310831719190494","0.9104603594766022","15034","15034","15034"
"7751","0.5411998365136305","0.49744044624355543","0.5676178174078118","15535","15535","15535","0.7799491721465126","0.6553569693179141","0.8914207095942296","15535","15535","15535","0.5396695961905302","0.5119829805434172","0.5864523036450973","15535","15535","15535","0.6932454790099353","0.5236378671616726","0.8725684143030086","15535","15535","15535","0.5633882372183703","0.5403380073135258","0.6068995922623108","15535","15535","15535","0.47351653177724273","0.3706226929513055","0.5817327324095909","15535","15535","15535","0.7562165971159083","0.6336280594554041","0.9443318088422089","15535","15535","15535","0.7808345711812642","0.6370792105890545","0.907607420279287","15535","15535","15535"
"8001","0.541046410796645","0.5034601279864824","0.5665281447045243","16036","16036","16036","0.782011707302825","0.661866996336439","0.8967715337232532","16036","16036","16036","0.5387762721894005","0.5142261680897887","0.5831447053071013","16036","16036","16036","0.684179363660065","0.5114280106270569","0.8296784534418143","16036","16036","16036","0.5629911464419036","0.5453150326089645","0.6140919293061237","16036","16036","16036","0.39050047195380433","0.24119373923690385","0.5568247096909882","16036","16036","16036","0.7559423061956878","0.6372527282975741","0.9441497037402441","16036","16036","16036","0.781266501726709","0.6407447665750722","0.908011977291495","16036","16036","16036"
"8251","0.5388535853191851","0.5003273001460664","0.5657844313136288","16537","16537","16537","0.780806359425865","0.6589417940213119","0.894747783378732","16537","16537","16537","0.5384663003714871","0.503460424797668","0.5842440895320403","16537","16537","16537","0.5410177698999604","0.38211900942379656","0.7112082177069635","16537","16537","16537","0.562804774735293","0.5461264294825943","0.6060823484179416","16537","16537","16537","0.38265295803501914","0.1858053188638256","0.5985129109507286","16537","16537","16537","0.7565138099627369","0.6300141629622326","0.9448084861397814","16537","16537","16537","0.7818262939802179","0.630164101324367","0.9080597369813274","16537","16537","16537"
