"stage2/step","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage2/mcc_spearman","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"10001","0.06739875637245325","0","0.22801615952202936","20167","20167","20167","0.2389587603110713","0.18625870074413356","0.2836007988693007","30167.2","30166","30168","0.5026455043993794","0.4417729525019295","0.6021034767334028","30167.2","30166","30168"
"10251","0.06468651294898974","0","0.22884955629287318","20420","20420","20420","0.2454023597169534","0.17915096144995485","0.34156247553253083","30420.2","30419","30421","0.49744192532172404","0.41592861435267753","0.5942657300092813","30420.2","30419","30421"
"10501","0.06082766996352309","0","0.2216759075372488","20673","20673","20673","0.2417951798910029","0.1748087258162366","0.30820091960507867","30673.2","30672","30674","0.5037363960148078","0.43502968196619624","0.5976710247320766","30673.2","30672","30674"
"10751","0.06583643124308738","0","0.22904337442151043","20926","20926","20926","0.24915029223605764","0.1733558599129056","0.29634794783551566","30926.2","30925","30927","0.5030670898795099","0.4414598867912747","0.5926812086829268","30926.2","30925","30927"
"11001","0.06596253168355774","0","0.22710522399261618","21179","21179","21179","0.24210724325113925","0.17843591202940437","0.29769946467025254","31179.2","31178","31180","0.5032774053266583","0.44163694340374454","0.597964120486052","31179.2","31178","31180"
"11251","0.06519351199209933","0","0.23447825407871462","21432","21432","21432","0.23496593033925323","0.15316276168337312","0.2928192716032604","31432.2","31431","31433","0.5004677093571879","0.44429980236064914","0.5784328623396123","31432.2","31431","31433"
"11501","0.06670147916620667","0","0.22942710854632212","21685","21685","21685","0.2407271782401411","0.17839803364176637","0.2938249836402408","31685.2","31684","31686","0.505534812709994","0.43653166263136234","0.5971312362004704","31685.2","31684","31686"
"11751","0.044874661703302274","0","0.23612447685846463","21938","21938","21938","0.23715628214643517","0.17811051480601556","0.2884690626579375","31938.2","31937","31939","0.5004047246145624","0.43811569908219117","0.5953615833354837","31938.2","31937","31939"
"12001","0.040745582493844947","0","0.23062801338552927","22191","22191","22191","0.24191960528915873","0.17980985461222043","0.28744650524982185","32191.2","32190","32192","0.5038906710854821","0.4452714646646931","0.5958695476651441","32191.2","32190","32192"
"12251","0.048449399428130153","0","0.2570981291320674","22444","22444","22444","0.2368912080319212","0.18112097391727228","0.2826372024298242","32444.2","32443","32445","0.5022167507322285","0.4348682323884391","0.5956431196075088","32444.2","32443","32445"
"12501","0.04611386719713105","0","0.236735841968352","22697","22697","22697","0.24427900660548066","0.178894917912701","0.2871026294028066","32697.2","32696","32698","0.5074018715928378","0.44265163895208104","0.6014667466028122","32697.2","32696","32698"
"12751","0.023646714580785294","0","0.23646714580785294","22950","22950","22950","0.23352878974864547","0.16304698142718926","0.2927093936225419","32950.2","32949","32951","0.50752842808738","0.43615134995376054","0.5996083583074165","32950.2","32949","32951"
"13001","0","0","0","23203","23203","23203","0.2210262038464446","0.10435965512136273","0.2938437664061153","33203.2","33202","33204","0.5035846588237679","0.44023324721093965","0.5948558223212974","33203.2","33202","33204"
"13251","0","0","0","23456","23456","23456","0.23265647263151984","0.16135804547553384","0.2895723473214752","33456.2","33455","33457","0.5056110928402618","0.433803394902462","0.5900177400185912","33456.2","33455","33457"
"13501","0","0","0","23709","23709","23709","0.23610660501532754","0.18160363716979339","0.2905553015560747","33709.2","33708","33710","0.5067259339280146","0.4387854435001278","0.5998874084742132","33709.2","33708","33710"
"13751","0","0","0","23962","23962","23962","0.22711353191051856","0.18598280751118473","0.27680883358855823","33962.2","33961","33963","0.5061048407801583","0.44704360067324495","0.584428250332571","33962.2","33961","33963"
"14001","0","0","0","24215","24215","24215","0.23241864949739152","0.17688957973726455","0.28422202568882476","34215.2","34214","34216","0.5051774243276395","0.44238059557062775","0.5981001674936073","34215.2","34214","34216"
"14251","0","0","0","24468","24468","24468","0.23534079527260737","0.1594752553251898","0.3155265761949274","34468.2","34467","34469","0.5086972721447995","0.4446140780474546","0.5976134948651712","34468.2","34467","34469"
"14501","0","0","0","24721","24721","24721","0.24085036027335857","0.18671162893287088","0.2980513851089054","34721.2","34720","34722","0.5092250516393573","0.4432660563521658","0.5978042239179953","34721.2","34720","34722"
"14751","0","0","0","24974","24974","24974","0.2420861288087739","0.17624152083644734","0.2922564884298138","34974.2","34973","34975","0.507836741382319","0.44043717001723887","0.5936420081392748","34974.2","34973","34975"
"15001","0","0","0","25227","25227","25227","0.24288655345080667","0.18429874663489415","0.33565060870726526","35227.2","35226","35228","0.5017606063725152","0.440078423734141","0.5922577345917388","35227.2","35226","35228"
"15251","0","0","0","25480","25480","25480","0.23612051478745233","0.106278989988452","0.3361541908770277","35480.2","35479","35481","0.49879395526014847","0.4387941062227124","0.5964102126851224","35480.2","35479","35481"
"15501","0","0","0","25733","25733","25733","0.2421129768291706","0.1835745893020435","0.29713900306708513","35733.2","35732","35734","0.5002542157312335","0.438800840407937","0.5882589096285511","35733.2","35732","35734"
"15751","0","0","0","25986","25986","25986","0.24077096702544942","0.13441397333609054","0.30185779140399954","35986.2","35985","35987","0.5039816913496378","0.4402000054357715","0.6012133623742895","35986.2","35985","35987"
"16001","0","0","0","26239","26239","26239","0.23569828946244678","0.12354661545624393","0.28970302683252985","36239.2","36238","36240","0.5030590768981978","0.44628222952184177","0.5999194818217763","36239.2","36238","36240"
"16251","0","0","0","26492","26492","26492","0.24322996108540895","0.18276503340284903","0.2977343291153909","36492.2","36491","36493","0.5004193367521943","0.44297898965334737","0.592541209118932","36492.2","36491","36493"
"16501","0","0","0","26745","26745","26745","0.24155560093057143","0.17423139984539746","0.30157988711310707","36745.2","36744","36746","0.49986690145824975","0.4409106288605864","0.5963245691081293","36745.2","36744","36746"
"16751","0","0","0","26998","26998","26998","0.23665084102831963","0.17639935027004877","0.301166416443693","36998.2","36997","36999","0.5043862350592384","0.44717632078865427","0.6002256566752664","36998.2","36997","36999"
"17001","0","0","0","27251","27251","27251","0.23560168734851866","0.17553973886115554","0.27512500970133086","37251.2","37250","37252","0.5038976101640924","0.446513167079822","0.5959941942659065","37251.2","37250","37252"
"17251","0","0","0","27504","27504","27504","0.2402527581742699","0.16952168266566578","0.2900021817799243","37504.2","37503","37505","0.5040957352473991","0.44318062771990013","0.599776347171583","37504.2","37503","37505"
"17501","0","0","0","27757","27757","27757","0.2361177284027119","0.16666950611760514","0.28322075624611026","37757.2","37756","37758","0.5054648522900826","0.4517131889391376","0.5919938379392611","37757.2","37756","37758"
"17751","0","0","0","28010","28010","28010","0.24275530875684664","0.18434482262806492","0.28416570052996215","38010.2","38009","38011","0.507606597368559","0.4484179973306178","0.5973939929976716","38010.2","38009","38011"
"18001","0","0","0","28263","28263","28263","0.23058984118674758","0.17308498373913228","0.27486794271612836","38263.2","38262","38264","0.5074657863315339","0.44485441716819035","0.5967352157532113","38263.2","38262","38264"
"18251","0","0","0","28516","28516","28516","0.23636420003986683","0.18581900164845444","0.2863600602279036","38516.2","38515","38517","0.510128185535386","0.44674883719426217","0.5989538162749819","38516.2","38515","38517"
"18501","0","0","0","28769","28769","28769","0.22303179624423689","0.11921745080099708","0.2899522802186663","38769.2","38768","38770","0.5107512318329934","0.44841268588955285","0.6039233677737068","38769.2","38768","38770"
"18751","0","0","0","29022","29022","29022","0.23897873457694024","0.17744629866374417","0.29702311372534124","39022.2","39021","39023","0.5133447237450381","0.4444906506421521","0.6024593428692879","39022.2","39021","39023"
"19001","0","0","0","29275","29275","29275","0.23476028757789122","0.1504896576006451","0.2853200620117632","39275.2","39274","39276","0.5100903160762681","0.4429334080070535","0.59752214366318","39275.2","39274","39276"
"19251","0","0","0","29528","29528","29528","0.23713741752531323","0.18592471359660281","0.2924587649879407","39528.2","39527","39529","0.5153496582448633","0.4412362852990584","0.5967826268261772","39528.2","39527","39529"
"19501","0","0","0","29781","29781","29781","0.23805104580740594","0.17622530092113706","0.29701284092341085","39781.2","39780","39782","0.5133939884687957","0.44253484965967094","0.5949814337412429","39781.2","39780","39782"
"19751","0","0","0","30034","30034","30034","0.2402567188411718","0.1784014117228124","0.2933999051676177","40034.2","40033","40035","0.5143390226410024","0.4431680232698195","0.5975520809500541","40034.2","40033","40035"
"20001","0","0","0","30287","30287","30287","0.24473858241386046","0.18049123233303022","0.274943692359831","40287.2","40286","40288","0.5122819147302975","0.4474348716713269","0.5995233104341244","40287.2","40286","40288"
"20251","0","0","0","30540","30540","30540","0.24135599841966665","0.18312654184683844","0.30320483604075965","40540.2","40539","40541","0.5150175177639024","0.44170227656832906","0.5944748067324218","40540.2","40539","40541"
"20501","0","0","0","30793","30793","30793","0.2365265021877708","0.11686999642103228","0.302093303255507","40793.2","40792","40794","0.5169830373325676","0.4418938728849965","0.6055342897373973","40793.2","40792","40794"
"20751","0","0","0","31046","31046","31046","0.22987181241287544","0.12587517576854937","0.3230937810432609","41046.2","41045","41047","0.5180098673308495","0.4432997274383408","0.6012692381639763","41046.2","41045","41047"
"21001","0","0","0","31299","31299","31299","0.23365359521881307","0.18150166700687767","0.28412469598973106","41299.2","41298","41300","0.5173223538936932","0.4385880281154092","0.6005311699642263","41299.2","41298","41300"
"21251","0","0","0","31552","31552","31552","0.23049068804415557","0.1574806334750527","0.3085239732605586","41552.2","41551","41553","0.5095531797229127","0.3770113578883175","0.5989740105147024","41552.2","41551","41553"
"21501","0","0","0","31805","31805","31805","0.22554452620229298","0.11467888802207668","0.2824628715679222","41805.2","41804","41806","0.5143441617927725","0.3943253461870909","0.5942445514962742","41805.2","41804","41806"
"21751","0","0","0","32058","32058","32058","0.24333943017773113","0.18723784524040224","0.28806016622729774","42058.2","42057","42059","0.5090055094490384","0.4131164602522997","0.6000131271937097","42058.2","42057","42059"
"22001","0","0","0","32311","32311","32311","0.2451052775274459","0.16512011306528415","0.2919777425360631","42311.2","42310","42312","0.5093308155894138","0.42146486322234084","0.5931968369612395","42311.2","42310","42312"
"22251","0","0","0","32564","32564","32564","0.24263654618367947","0.16484745962894568","0.2925242723159518","42564.2","42563","42565","0.5149452182577028","0.42987154571191777","0.5995694027855212","42564.2","42563","42565"
"22501","0","0","0","32817","32817","32817","0.23706488068024378","0.15257790398311344","0.2959290922276311","42817.2","42816","42818","0.5166368059968656","0.4338910530770425","0.5991868258947424","42817.2","42816","42818"
"22751","0","0","0","33070","33070","33070","0.23468225327086079","0.11980862688349395","0.2927407789416338","43070.2","43069","43071","0.5170768242548904","0.4411527049343694","0.5955211148223333","43070.2","43069","43071"
"23001","0","0","0","33323","33323","33323","0.241332898871986","0.18428419978354943","0.28973055069447046","43323.2","43322","43324","0.5158841719035957","0.4385807337575516","0.5968476121742945","43323.2","43322","43324"
"23251","0","0","0","33576","33576","33576","0.23284263836786678","0.1478780273563368","0.2837304548863418","43576.2","43575","43577","0.5187927641277392","0.43495213089791507","0.6020681946422308","43576.2","43575","43577"
"23501","0","0","0","33829","33829","33829","0.2419933157040423","0.17950355728875594","0.30241022958286756","43829.2","43828","43830","0.516195785917211","0.43940467458643484","0.5957640832418053","43829.2","43828","43830"
"23751","0","0","0","34082","34082","34082","0.23941031246728112","0.17498451446871924","0.3122909496834397","44082.2","44081","44083","0.5141619203442868","0.4417875366104761","0.5995572127842245","44082.2","44081","44083"
"24001","0","0","0","34335","34335","34335","0.24250536966346106","0.1802899413263157","0.28608080643011535","44335.2","44334","44336","0.5150818756951692","0.4422910629693135","0.5966520074015753","44335.2","44334","44336"
"24251","0","0","0","34588","34588","34588","0.24086379980482917","0.180392512025422","0.2933429710005256","44588.2","44587","44589","0.5119967152968843","0.44232299624778665","0.6055667834620155","44588.2","44587","44589"
"24501","0","0","0","34841","34841","34841","0.24496733368798865","0.17726866127472368","0.3025839700564551","44841.2","44840","44842","0.5134420272269361","0.441024674922165","0.609112496598113","44841.2","44840","44842"
"24751","0","0","0","35094","35094","35094","0.24154156314374076","0.14248447909998102","0.32640274008127257","45094.2","45093","45095","0.5135497320789328","0.4388385389545032","0.6062799087460105","45094.2","45093","45095"
"25001","0","0","0","35347","35347","35347","0.2429277596052956","0.17493106204173064","0.29682590602686265","45347.2","45346","45348","0.517316481684495","0.4459504595539345","0.609292763551913","45347.2","45346","45348"
"25251","0","0","0","35600","35600","35600","0.2388231523902352","0.16074875619732035","0.3005688371441799","45600.2","45599","45601","0.5190165424675478","0.44778933978237634","0.6131460789523999","45600.2","45599","45601"
"25501","0","0","0","35853","35853","35853","0.24562457291479478","0.17417935869088588","0.29498321481417905","45853.2","45852","45854","0.5202748610066026","0.44490202562590236","0.6034252229353558","45853.2","45852","45854"
"25751","0","0","0","36106","36106","36106","0.24509538543983073","0.16947035503242097","0.2920672139413293","46106.2","46105","46107","0.5230859346296207","0.45142808301947934","0.6114050687292973","46106.2","46105","46107"
"26001","0","0","0","36359","36359","36359","0.24980874176148826","0.18029324400734167","0.31179906533333257","46359.2","46358","46360","0.5222211853130561","0.4419594460099341","0.6155741163515389","46359.2","46358","46360"
"26251","0","0","0","36612","36612","36612","0.24468185327453829","0.1762892065179529","0.2989858845463586","46612.2","46611","46613","0.5242277813112064","0.44329683784048557","0.6204970062186963","46612.2","46611","46613"
"26501","0","0","0","36865","36865","36865","0.2423313946023859","0.1742413349372735","0.2908123441832719","46865.2","46864","46866","0.5249876241702165","0.4499274338964341","0.61763083831484","46865.2","46864","46866"
"26751","0","0","0","37118","37118","37118","0.2321404173243314","0.15552937597201283","0.28836178599285145","47118.2","47117","47119","0.5229058845011667","0.445458709151447","0.6163334366656092","47118.2","47117","47119"
"27001","0","0","0","37371","37371","37371","0.2285955737748208","0.11543689797031857","0.3222945421017533","47371.2","47370","47372","0.5246095044581127","0.4447370186140108","0.6202659580355411","47371.2","47370","47372"
"27251","0","0","0","37624","37624","37624","0.2372795969683701","0.14650563653995521","0.3122515815281682","47624.2","47623","47625","0.5232866036947448","0.4430022706493502","0.6156679036098415","47624.2","47623","47625"
"27501","0","0","0","37877","37877","37877","0.23607170683496795","0.16093570329555879","0.2895016316603618","47877.2","47876","47878","0.5248384414559731","0.4451087069764855","0.6157962554599549","47877.2","47876","47878"
"27751","0","0","0","38130","38130","38130","0.2297936617790477","0.14339512604790056","0.2764360435999945","48130.2","48129","48131","0.5252862819422576","0.4496496295129228","0.6144486552378082","48130.2","48129","48131"
"28001","0","0","0","38383","38383","38383","0.23277745494348706","0.13265964392394242","0.298324881652963","48383.2","48382","48384","0.5247709333757691","0.44654773217863514","0.6121557292435856","48383.2","48382","48384"
"28251","0","0","0","38636","38636","38636","0.23605188690094994","0.15648364275583232","0.29815809045069264","48636.2","48635","48637","0.5252005474528273","0.4458479022439654","0.615598450719094","48636.2","48635","48637"
"28501","0","0","0","38889","38889","38889","0.2285915014839272","0.13767370496781267","0.2799580519113263","48889.2","48888","48890","0.5239002527439183","0.44265917819185807","0.6188432599391565","48889.2","48888","48890"
"28751","0","0","0","39142","39142","39142","0.24136432573769132","0.17911353921635312","0.2752393593835635","49142.2","49141","49143","0.5246334406414169","0.45188026372499585","0.6171228260101155","49142.2","49141","49143"
"29001","0","0","0","39395","39395","39395","0.2311492003599108","0.17531476298522747","0.27954618318741414","49395.2","49394","49396","0.5249734427898031","0.447344332477428","0.6172762989722247","49395.2","49394","49396"
"29251","0","0","0","39648","39648","39648","0.22743349214088077","0.14228725545887308","0.280635206009647","49648.2","49647","49649","0.5242621761221282","0.4461566135461445","0.6206633487541346","49648.2","49647","49649"
"29501","0","0","0","39901","39901","39901","0.23083892289029212","0.13175882946469683","0.2980818159042092","49901.2","49900","49902","0.5244724194572317","0.4477819016325844","0.6242125231809905","49901.2","49900","49902"
"29751","0","0","0","40154","40154","40154","0.24678836414227828","0.18441684564202715","0.30510651125625043","50154.2","50153","50155","0.5258167240304585","0.4476527337804079","0.6169123705453897","50154.2","50153","50155"
"30001","0","0","0","40407","40407","40407","0.2508717014863645","0.17905204783264575","0.29579371785448194","50407.2","50406","50408","0.5258823932161809","0.4441071004010887","0.6194329660472568","50407.2","50406","50408"
"30251","0","0","0","40660","40660","40660","0.2359789697605522","0.17206645335258303","0.30512991132610673","50660.2","50659","50661","0.5271494257468115","0.4478708657254938","0.6282487897786411","50660.2","50659","50661"
"30501","0","0","0","40913","40913","40913","0.2419876512610301","0.1779365599496368","0.29779547608908885","50913.2","50912","50914","0.5278668684080101","0.448154129740914","0.6270020738436022","50913.2","50912","50914"
