"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_pearson","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_pearson","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_pearson","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"16501","0.21997718821170684","0.16582722894232327","0.2649355015594515","26745","26745","26745","0.562699467990502","0.3499129665892142","0.7296974661126934","36745.4","36744","36746","0.8254861647493005","0.6575249613898512","0.9515944125206541","36745.2","36744","36746"
"16751","0.21599179504353208","0.16174124132947398","0.3233896430451816","26998","26998","26998","0.5906390212621376","0.4631175369806666","0.7377778923603265","36998.4","36997","36999","0.8269427226862647","0.6639765274947999","0.9505735082419434","36998.2","36997","36999"
"17001","0.20903187346017624","0.1578166332791633","0.24980864528498065","27251","27251","27251","0.597124950581071","0.4790831484720407","0.745248983734947","37251.4","37250","37252","0.8295886947814181","0.6687587299552964","0.9507912777252384","37251.2","37250","37252"
"17251","0.2102280063025165","0.13260463859390464","0.2671055168333682","27504","27504","27504","0.6052207417027887","0.4957625539988998","0.7458438779320539","37504.4","37503","37505","0.8314840589569712","0.6713401106511994","0.9511029354439169","37504.2","37503","37505"
"17501","0.21127577512072815","0.15133199612457066","0.2869037257548947","27757","27757","27757","0.6067880416564226","0.5033858449167157","0.7557686882653002","37757.4","37756","37758","0.8327594981414073","0.6763063447569737","0.9515394767541808","37757.2","37756","37758"
"17751","0.19052805499611386","0.14440973102341154","0.24492582089114961","28010","28010","28010","0.6133595312775292","0.5278353917182558","0.762232415650439","38010.4","38009","38011","0.8344559385759028","0.6783829066928304","0.9502228943266463","38010.2","38009","38011"
"18001","0.17914890001158937","0.13855403725072474","0.22760462030990877","28263","28263","28263","0.6138383962787014","0.5431084633274963","0.768501676379281","38263.4","38262","38264","0.8355797940920289","0.6814167886493195","0.951346298134229","38263.2","38262","38264"
"18251","0.17876176539157135","0.1371984077012312","0.22428845579323808","28516","28516","28516","0.6160064270724421","0.546051190591372","0.765274158150205","38516.4","38515","38517","0.8371337910764455","0.6830356411149356","0.949306075766023","38516.2","38515","38517"
"18501","0.17755851376980847","0.13192189328461706","0.2224606607264234","28769","28769","28769","0.6210567293945235","0.5562098364265464","0.7680543347748681","38769.4","38768","38770","0.8382297366033347","0.6861209955397988","0.9517042027534355","38769.2","38768","38770"
"18751","0.1722927256328449","0.1311247017476267","0.2288693670323299","29022","29022","29022","0.6265509296921373","0.5528702946630155","0.7744798225871868","39022.4","39021","39023","0.8395123223402431","0.6888845971208626","0.9505329329263983","39022.2","39021","39023"
"19001","0.1666602851677026","0.1248121934196493","0.22833543072173765","29275","29275","29275","0.6323630058127317","0.5564755562240119","0.7695995197438474","39275.4","39274","39276","0.8421822252030265","0.6956579546241416","0.9535038298165887","39275.2","39274","39276"
"19251","0.16383142275260043","0.1049748568598194","0.21717005020413746","29528","29528","29528","0.6317404018487707","0.5583426627113803","0.7755305784959844","39528.4","39527","39529","0.8417974132177204","0.6940308914623758","0.9494543481703612","39528.2","39527","39529"
"19501","0.16283339819529613","0.1290675583286393","0.20617231734384212","29781","29781","29781","0.6243930994020689","0.5420414107635503","0.7804324760798607","39781.4","39780","39782","0.844783506908603","0.6995874015344352","0.9541315215295338","39781.2","39780","39782"
"19751","0.16901629332994667","0.11770340379708877","0.2168518091409911","30034","30034","30034","0.612161565854613","0.5138619327368525","0.7849644794584768","40034.4","40033","40035","0.8455576967906776","0.7056352630049773","0.9522407397509689","40034.2","40033","40035"
"20001","0.15690591062811948","0.10847747298191504","0.20164611377133212","30287","30287","30287","0.6148711259592881","0.5037939493619833","0.7911304301716632","40287.4","40286","40288","0.8460631427322584","0.7071984668690015","0.950629569636259","40287.2","40286","40288"
"20251","0.16241799859937217","0.12157141061469953","0.21972794990684413","30540","30540","30540","0.6183745465500536","0.5433333472463964","0.7976634350707026","40540.4","40539","40541","0.8488782528905336","0.7116424313482403","0.953564772848339","40540.2","40539","40541"
"20501","0.14912946596667834","0.10066036704067027","0.17683057162414517","30793","30793","30793","0.6099071411725222","0.5217225292287041","0.8066655709813286","40793.4","40792","40794","0.8499428910614775","0.7093381889683137","0.9519335530034574","40793.2","40792","40794"
