"stage1/step","Group: VaDE_Complicate_gauss - stage1/mcc_pearson","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage1/mcc_pearson","Group: Danru_Complicate_gauss - stage1/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage1/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage1/mcc_pearson","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"4001","0.563762661485567","0.5132820461602101","0.6379282496888368","4018","4018","4018","0.56298394043201","0.5191399625407259","0.6003502003153058","8020","8020","8020","0.5302013634376113","0.5000264569121893","0.5803909826863645","8020","8020","8020"
"4251","0.565445792020892","0.5167704800084059","0.6376791553106755","4269","4269","4269","0.562796646025507","0.5155398383709451","0.5942110119233857","8521","8521","8521","0.5311590049059942","0.5004575364858204","0.5788231391333533","8521","8521","8521"
"4501","0.5634383377488372","0.5138804083494992","0.6387488471660543","4520","4520","4520","0.5636790172920156","0.5134130430897642","0.5958564002589706","9022","9022","9022","0.5328351483936363","0.49763344991731173","0.5818802327505791","9022","9022","9022"
"4751","0.5656944731660981","0.5139156198284829","0.6415887510098547","4771","4771","4771","0.56169490093565","0.511386534654909","0.5971544709240825","9523","9523","9523","0.5331756805259202","0.4987429503264346","0.5845356216393589","9523","9523","9523"
"5001","0.5654617331317304","0.520319401203558","0.6423820055732195","5022","5022","5022","0.5612593189670159","0.509705451612391","0.5988395255377483","10024","10024","10024","0.5337335230219481","0.5044242909743136","0.5829118266321497","10024","10024","10024"
"5251","0.5625653294543235","0.5180795836481004","0.6373456704746945","5273","5273","5273","0.5612575784211711","0.5161626344735043","0.5932760165169694","10525","10525","10525","0.5345609714771549","0.5057946017396373","0.578154962824826","10525","10525","10525"
"5501","0.5580823271878814","0.5179942829851354","0.6358071453759113","5524","5524","5524","0.5584179724874911","0.5192956423413396","0.5891900780298891","11026","11026","11026","0.5357599666260051","0.5083087540183403","0.5848529137129456","11026","11026","11026"
"5751","0.5621637268960893","0.5223480370804867","0.640678296581058","5775","5775","5775","0.5585303848936931","0.5158445775976885","0.5879035605431413","11527","11527","11527","0.535859560852638","0.5094410108223112","0.5822591888369392","11527","11527","11527"
"6001","0.5623866480862548","0.5200058888991597","0.6403850483287172","6026","6026","6026","0.5580402651537992","0.5102572211720361","0.5861082663998372","12028","12028","12028","0.5371386774786775","0.5097333115257194","0.5846446957329999","12028","12028","12028"
"6251","0.5611922053551821","0.5122299584896342","0.6417284704705599","6277","6277","6277","0.5583220409005574","0.5162730275945633","0.5926504296843009","12529","12529","12529","0.5358545770319979","0.5011133431114172","0.5860621112111705","12529","12529","12529"
"6501","0.5616742767841132","0.509122597537802","0.6416311291895352","6528","6528","6528","0.5575339927783398","0.5134017785982052","0.5923068956451413","13030","13030","13030","0.5373149582134895","0.5109030265512053","0.5806027604353348","13030","13030","13030"
"6751","0.5612007149621969","0.5260800831430261","0.6263698615202341","6779","6779","6779","0.5578044740264548","0.5107295175557692","0.5922998510100959","13531","13531","13531","0.5376569443421241","0.5056882498609825","0.5848531829491181","13531","13531","13531"
"7001","0.5610914687764048","0.5266956818575036","0.6297284695543737","7030","7030","7030","0.5561189244873394","0.5084062434570273","0.5895410937114434","14032","14032","14032","0.5377397823023841","0.5100593788686114","0.5836474786591918","14032","14032","14032"
"7251","0.5619453007232817","0.520771092239901","0.6353960577098018","7281","7281","7281","0.5561536363893753","0.5085414445662687","0.5919541340639839","14533","14533","14533","0.5374302647879297","0.5066676415280496","0.58190949875138","14533","14533","14533"
"7501","0.5610155884873911","0.522738494026783","0.6357936939905631","7532","7532","7532","0.5543088470835474","0.5050664911166428","0.5822756277941719","15034","15034","15034","0.5380935454657004","0.500224884928949","0.5797293840073531","15034","15034","15034"
"7751","0.5606859824416132","0.5282687954165868","0.6410130858599751","7783","7783","7783","0.5539723439466471","0.5067145887259088","0.5836751158662121","15535","15535","15535","0.5396695961905302","0.5119829805434172","0.5864523036450973","15535","15535","15535"
"8001","0.559776089472736","0.5230940278942452","0.6380366823977516","8034","8034","8034","0.5541911548642549","0.5054098778352499","0.5878455828409004","16036","16036","16036","0.5387762721894005","0.5142261680897887","0.5831447053071013","16036","16036","16036"
"8251","0.5574024441896712","0.5215536161322051","0.636420770583676","8285","8285","8285","0.5533459185947922","0.5067267514895646","0.5825601512331311","16537","16537","16537","0.5384663003714871","0.503460424797668","0.5842440895320403","16537","16537","16537"
"8501","0.5604772413357437","0.5287393439104893","0.6434100643087165","8536","8536","8536","0.5519351826575327","0.5019691902518495","0.5862175492783624","17038","17038","17038","0.5398899493690197","0.5116191345732772","0.5841103147911142","17038","17038","17038"
"8751","0.5586279184686173","0.5271506453148082","0.6408709742727866","8787","8787","8787","0.5531567731015495","0.5064066126074204","0.5830111703733503","17539","17539","17539","0.5408105141201283","0.513603073763276","0.5852989568538225","17539","17539","17539"
"9001","0.5593833378648572","0.5217893702442675","0.6401793927322392","9038","9038","9038","0.5523231577766966","0.5002183836146453","0.5817432178826774","18040","18040","18040","0.5386230549022771","0.5102777268068583","0.5847085905183134","18040","18040","18040"
"9251","0.5574616847188412","0.5202876836888646","0.6403684616068621","9289","9289","9289","0.5521036955712749","0.5008206981614929","0.5813215046070362","18541","18541","18541","0.5390456096166292","0.5114219732557561","0.5850816259589949","18541","18541","18541"
"9501","0.5572058478007013","0.526722640456867","0.638804500486144","9540","9540","9540","0.5506032513624002","0.4984278678300466","0.582399678850428","19042","19042","19042","0.5410945900906681","0.5100527630418339","0.5861099750350754","19042","19042","19042"
"9751","0.5562624522569164","0.522850105322485","0.6423662636019936","9791","9791","9791","0.5504961936041342","0.4986138565480571","0.58187933086116","19543","19543","19543","0.5403301999243372","0.5136055011482898","0.5896590141338539","19543","19543","19543"
